ID_Source,Product_Name,Price_Raw,Supplier_Name,Date_Scraped,Calories_Raw
83,monde evaporated milk refill pack,238.56,Robinsons Supermarket,2023-10-28,325 cal
84,Nova Sardines Famil Size,$183.24,Landers,2023-10-07,471 kcal
85,C2  Soy  Sauce,149.00,Landers,2023-10-17,392 kcal
86,Selecta Sugar Refill Pac,,SM Supermarket,2023-10-18,124 kcal
87,C2  Fruit  Juice  Bottle,205.27,S&R,2023-10-25,108 kcal
88,SAN MIGUEL COOKING OIL,217.33,Puregold,2023-10-28,108 kcal
89,CDO Biscuits,157.81,S&R,2023-10-20,
90,Alaska Sardines,16127,7-Eleven,2023-10-12,183kcal
91,ALASKA EVAPORATED MILK BOTTLE,37.43,Waltermart,2023-10-18,231 kcal
92,nescafe evaporated milk,156.77,S&R,2023-10-05,488 kcal
93,Magnolia Instat Coffee Bottle,"89,49",S&R,2023-10-09,341 kcal
94,Lucky Me Corned Beef,$238.67,Landers,2023-10-07,249 kcal
95,Chippy Mayonnaise Refill Pack,214.94,Alfamart,2023-10-11,101kcal
96,Del Monte Cheese Family Size,214.96,Robinsons Supermarket,2023-10-21,385kcal
97,purefoods sugar refill pack,"122,51",Waltermart,2023-10-19,241 kcal
98,Jack 'n Jill Cooking Oil Sachet,"112,66",Puregold,2023-10-28,274 Kcal
99,cdo cookies,48.11,7-Eleven,2023-10-19,
100,Reno  Crackers,231.91,S&R,2023-10-11,302 Kcal
101,nescafe evaporated milk family size,,Alfamart,2023-10-18,502 Kcal
102,reno tuna flakes,21966,SM Supermarket,2023-10-28,272kcal
103,Piattos Spaghetti Sauce,,Alfamart,2023-10-11,273 cal
104,SELECTA SALT FAMILY SIZE,67.26,Alfamart,2023-10-08,189 cal
105,Del Monte Sugar,,Alfamart,2023-10-26,
106,GARDENIA FRUIT JUICE,"48,18",7-Eleven,2023-10-26,580 kcal
107,lucky me instant coffee,93.94,7-Eleven,2023-10-13,295 kcal
108,gardenia cheese refill pack,216.66 eur,Waltermart,2023-10-25,244 kcal
109,selecta peanut butter,0,Puregold,2023-10-20,322 kcal
110,Reno Cooking Oil,189.12 eur,Landers,2023-10-03,435 kcal
111,cdo corned beef,$194.44,Waltermart,2023-10-05,333 kcal
112,Selecta  Evaporated  Milk  Refill  Pack,91.94,Puregold,2023-10-20,181 kcal
113,ALASKA COOKIES SACHET,227.15,Robinsons Supermarket,2023-10-03,81 kcal
114,ucky Me Sardines,164.94,7-Eleven,2023-10-17,387 Kcal
115,Bear Brand Rice,240.74,S&R,2023-10-21,225 cal
116,Century Tuna Sardies Refill Pack,207.04,Puregold,2023-10-10,126 kcal
117,urefoods Crackers,85.84,Alfamart,2023-10-18,274 kcal
118,Selecta Sugar Refill Pck,0,Alfamart,2023-10-06,288 kcal
119,Eden Potato Chips Refill Pack,104.70,SM Supermarket,2023-10-15,103 Kcal
120,C2 Corned Bee,26.43,Puregold,2023-10-27,312 kcal
121,Oishi Tomato Sauce Sachet,208.57,S&R,2023-10-16,261 kcal
122,JACK 'N JILL SOY SAUCE PACK OF 3,136.11 eur,7-Eleven,2023-10-01,469 cal
123,Argentina Cheese Refill Pack,18.21,S&R,2023-10-27,234 cal
124,555  Chocolate  Drink,"22,78",Robinsons Supermarket,2023-10-02,146 kcal
125,Argentina Tomto Sauce,188.69,S&R,2023-10-21,511 kcal
126,UFC MAYONNAISE,$161.72,7-Eleven,2023-10-08,
127,jack 'n jill peanut butter bottle,195.01,S&R,2023-10-20,475 cal
128,Datu Puti Tomato Sauce Bottle,242.80,Robinsons Supermarket,2023-10-02,323 kcal
129,ARGENTINA WAFER,$73.40,Waltermart,2023-10-12,92 kcal
130,555 Shrimp Crackers,106.32,Puregold,2023-10-20,166 Kcal
131,GARDENIA SALT BOTTLE,50.50,7-Eleven,2023-10-12,92 kcal
132,CHIPPY CHOCOLATE DRINK REFILL PACK,160.59,Landers,2023-10-26,286 kcal
133,Gardenia Potato Chips,231.91,S&R,2023-10-26,160kcal
134,jack 'n jill corned beef,94.39,Landers,2023-10-08,483 Kcal
135,MAGNOLIA SHRIMP CRACKERS,51.57,Robinsons Supermarket,2023-10-08,477 kcal
136,Bear Brand Vienna Sausage,10266,S&R,2023-10-21,364 kcal
137,ufc spaghetti sauce family size,,Alfamart,2023-10-28,271 Kcal
138,nestle mayonnaise,$139.21,Landers,2023-10-18,565 kcal
139,fita biscuits pack of 3,21387,Alfamart,2023-10-01,593 kcal
140,lucky me chocolate drink refill pack,200.70,Landers,2023-10-05,240 kcal
141,Reno Potato Cips Sachet,18089,7-Eleven,2023-10-17,128kcal
142,NOVA SUGAR SACHET,198.97,Waltermart,2023-10-28,163 kcal
143,Magnola Tuna Flakes,166.53,Landers,2023-10-22,130 cal
144,Datu Puti Salt,45.36,7-Eleven,2023-10-22,590 kcal
145,ARGENTINA BISCUITS,64.46,SM Supermarket,2023-10-26,82 kcal
146,Gardenia Condensed Milk Family Size,127.12,7-Eleven,2023-10-26,516 kcal
147,alaska shrimp crackers,4005,Robinsons Supermarket,2023-10-11,487 kcal
148,selecta condensed milk family size,110.93,Puregold,2023-10-20,558 kcal
149,SkyFlakes  Condensed  Milk  Refill  Pack,119.06,SM Supermarket,2023-10-22,473kcal
150,Milo Tomato auce,84.87,7-Eleven,2023-10-23,313 kcal
151,cdo tomato sauce,213.70,SM Supermarket,2023-10-11,109kcal
152,UFC SHRIMP CRACKERS,177.06,S&R,2023-10-10,543 kcal
153,nescafe crackers sachet,75.24 eur,Waltermart,2023-10-17,135 kcal
154,Argentina Crackers,42.36,S&R,2023-10-17,354 kcal
155,Nova Salt,165.75,Puregold,2023-10-19,207 kcal
156,555 CHEESE,171.68 eur,Waltermart,2023-10-03,
157,Eden Tuna Flakes Sachet,43.42 eur,Puregold,2023-10-23,
158,UFC  Instant  Coffee,$110.86,Waltermart,2023-10-12,306 kcal
159,ARGENTINA MAYONNAISE,73.15,Waltermart,2023-10-12,230 kcal
160,Nova Salt,16613,Alfamart,2023-10-02,439 kcal
161,Jack 'n Jill Tomato Sauce,140.60,Landers,2023-10-09,107 kcal
162,Milo Instant offee Refill Pack,81.76,7-Eleven,2023-10-11,210 Kcal
163,c2 spaghetti sauce,$108.18,S&R,2023-10-07,
164,Purefoods  Cookies,94.65,Puregold,2023-10-05,104 kcal
165,JACK 'N JILL FRUIT JUICE,68.77 eur,Puregold,2023-10-01,559kcal
166,Mega Rie,18.18,Robinsons Supermarket,2023-10-04,246 cal
167,Oishi Shrimp Crackers,$52.08,Waltermart,2023-10-21,229kcal
168,Eden Cheese,160.86,SM Supermarket,2023-10-19,561 kcal
169,oishi wafer sachet,$141.13,Waltermart,2023-10-19,306 kcal
170,SkyFlakes Sugar,100.75 eur,Robinsons Supermarket,2023-10-16,102kcal
171,selecta crackers sachet,130.33 eur,S&R,2023-10-14,376 kcal
172,Bear Brand Beef Loaf,91.33,Landers,2023-10-07,530 kcal
173,Fita Mayonnaise,177.56,7-Eleven,2023-10-11,121 Kcal
174,GARDENIA PANCIT CANTON SACHET,179.60,S&R,2023-10-15,176 kcal
175,Century Tuna Fruit Juice ottle,166.26,Alfamart,2023-10-05,335 kcal
176,Piattos Crackers,181.35,SM Supermarket,2023-10-02,449 cal
177,NESTLE TUNA FLAKES,60.45,Puregold,2023-10-25,453kcal
178,piattos sardines,162.69,Puregold,2023-10-10,391 kcal
179,skyflakes rice,,Puregold,2023-10-09,598 kcal
180,555 HOTDOG BOTTLE,16255,7-Eleven,2023-10-27,288 Kcal
181,ova Salt Sachet,"22,11",Waltermart,2023-10-21,
182,nescafe soy sauce pack of 3,139.29,Puregold,2023-10-19,444 kcal
183,Nescafe Mayonnaise ack of 3,55.33,Landers,2023-10-27,428 kcal
184,chippy rice,$179.32,Puregold,2023-10-05,450 kcal
185,datu puti chocolate bar,27.11,7-Eleven,2023-10-04,293kcal
186,gardenia cookies,14100,Alfamart,2023-10-04,170kcal
187,datu puti cooking oil,$170.77,Alfamart,2023-10-20,
188,skyflakes tomato sauce,51.75,Puregold,2023-10-19,84 kcal
189,NESCAFE PEANUT BUTTER REFILL PACK,146.54,7-Eleven,2023-10-27,453 cal
190,CDO Sugar,109.72,Puregold,2023-10-09,348 kcal
191,CDO  Evaporated  Milk,249.17,Landers,2023-10-24,537 kcal
192,bear brand cookies bottle,$85.81,Alfamart,2023-10-08,347 kcal
193,Milo  Corned  Beef,197.56,7-Eleven,2023-10-10,414 Kcal
194,Milo Rice Family Size,$153.08,SM Supermarket,2023-10-05,264 kcal
195,Century Tuna Salt Bottle,$132.64,Alfamart,2023-10-14,
196,Argentina Tomato Sauce Bottle,130.28,7-Eleven,2023-10-26,132 cal
197,nescafe instant coffee bottle,25.92,Alfamart,2023-10-13,498 kcal
198,Nestle Cheese,$146.36,SM Supermarket,2023-10-22,366kcal
199,bear brand oatmeal,6200,Robinsons Supermarket,2023-10-22,
200,skyflakes biscuits,0,Robinsons Supermarket,2023-10-23,302 kcal
201,nescafe wafer refill pack,"71,71",Alfamart,2023-10-22,398 kcal
202,DEL MONTE COOKIES REFILL PACK,12238,S&R,2023-10-17,470 kcal
203,Century Tuna PotatoChips Bottle,"221,64",Alfamart,2023-10-25,498 kcal
204,555 sugar,46.27,Robinsons Supermarket,2023-10-16,
205,BEAR BRAND INSTANT COFFEE,109.60,Robinsons Supermarket,2023-10-12,282kcal
206,Bear Brand Hotdog Sachet,221.70 eur,SM Supermarket,2023-10-19,365 Kcal
207,Bear Brand Biscuits,"196,92",S&R,2023-10-01,407 kcal
208,magnolia spaghetti sauce bottle,"150,14",Puregold,2023-10-02,543 kcal
209,Nstle Oatmeal,"103,09",S&R,2023-10-11,445kcal
210,Selcta Cooking Oil,$227.38,Waltermart,2023-10-12,205 kcal
211,GARDENIA TUNA FLAKES,"76,77",Puregold,2023-10-27,495 cal
212,SkyFlakes Chocolate Bar Pack of 3,245.33,Alfamart,2023-10-16,
213,555 Peanut Butter,214.86 eur,Puregold,2023-10-25,532 kcal
214,CD Mayonnaise Family Size,135.00,Landers,2023-10-25,281 kcal
215,Nova Chocolate Bar Refill Pack,"125,62",Landers,2023-10-03,350 Kcal
216,Alaska Tomato Sauce,181.11,Landers,2023-10-26,372 kcal
217,Eden Pancit Canton Bottle,188.03,Waltermart,2023-10-03,181 kcal
218,Reno Vienna Sausage,168.12,Robinsons Supermarket,2023-10-08,366 kcal
219,BEAR BRAND INSTANT COFFEE,235.26,Alfamart,2023-10-03,217kcal
220,Milo Spagheti Sauce,229.89 eur,SM Supermarket,2023-10-01,186 kcal
221,Oishi Pancit Canton,11773,Waltermart,2023-10-07,109 kcal
222,Jack 'n Jill Fruit Juice Family Size,226.24,Landers,2023-10-20,103 kcal
223,C2 Spaghetti Sauce Pack of 3,218.68,Alfamart,2023-10-11,295 kcal
224,ArgentinaSalt,83.69,Landers,2023-10-01,466kcal
225,jack 'n jill biscuits sachet,170.94,SM Supermarket,2023-10-05,83kcal
226,selecta oatmeal,69.56,S&R,2023-10-17,318 kcal
227,Datu  Puti  Fruit  Juice  Sachet,232.72,S&R,2023-10-09,267 kcal
228,CHIPPY INSTANT COFFEE,0,Waltermart,2023-10-20,146 cal
229,Bear Brand Wafer Pack of ,$211.32,Puregold,2023-10-01,116 Kcal
230,bear brand tomato sauce,41.34,Puregold,2023-10-13,207 kcal
231,CDO VIENNA SAUSAGE,207.94,Alfamart,2023-10-11,268 kcal
232,san miguel cheese,111.22,S&R,2023-10-24,469 Kcal
233,NOVA RICE,$61.14,Robinsons Supermarket,2023-10-27,432 kcal
234,lucky me tuna flakes,143.63,Alfamart,2023-10-21,521 kcal
235,Nestle  Crackers  Sachet,9804,Alfamart,2023-10-24,393 kcal
236,PUREFOODS COOKIES,$194.82,Landers,2023-10-15,598kcal
237,Arentina Fruit Juice,41.79,Landers,2023-10-01,129 kcal
238,lucky me instant coffee,$238.67,Puregold,2023-10-21,176 kcal
239,Nova  Sardines  Bottle,51.17 eur,7-Eleven,2023-10-22,83 kcal
240,LUCKY ME CORNED BEEF PACK OF 3,,Landers,2023-10-15,190 kcal
241,reno crackers,231.16,Waltermart,2023-10-05,319 kcal
242,Milo Cheese,"179,05",S&R,2023-10-26,515 kcal
243,Nova Vienna Sausage,,Puregold,2023-10-15,
244,Piattos  Cheese  Bottle,"111,63",Landers,2023-10-28,429 kcal
245,Del Monte Corned Beef Refill Pack,$26.38,7-Eleven,2023-10-08,97 Kcal
246,Argentina Condensed Milk,96.92 eur,SM Supermarket,2023-10-11,350 kcal
247,nescafe potato chips,"64,82",7-Eleven,2023-10-06,284 kcal
248,Lucky Me Corned Beef Sachet,22.52 eur,SM Supermarket,2023-10-19,
249,Monde  Evaporated  Milk  Refill  Pack,222.50,Waltermart,2023-10-13,141 kcal
250,LUCKY ME BEEF LOAF,0,SM Supermarket,2023-10-02,267kcal
251,Lucky Me Condensed Milk Sachet,"117,28",Landers,2023-10-22,496 kcal
252,CHIPPY EVAPORATED MILK SACHET,205.18,Waltermart,2023-10-09,561 Kcal
253,Jack 'n Jill Cheese Sachet,29.04 eur,Alfamart,2023-10-13,131 kcal
254,jack 'n jill shrimp crackers,,Alfamart,2023-10-13,107 kcal
255,Mega Oatmeal Family Sie,111.67,S&R,2023-10-13,230 kcal
256,milo corned beef family size,86.08,Landers,2023-10-18,89 kcal
257,Bear Brand Oatmeal,28.46,Alfamart,2023-10-06,264 kcal
258,MILO CHEESE,$52.79,Waltermart,2023-10-25,
259,eden potato chips,"71,48",Puregold,2023-10-08,225 kcal
260,Century Tuna Sugar Family Size,73.11,Puregold,2023-10-15,360 kcal
261,CHIPPY VIENNA SAUSAGE REFILL PACK,59.64 eur,Puregold,2023-10-26,138 kcal
262,GARDENIA COOKING OIL,47.64,SM Supermarket,2023-10-02,340 kcal
263,eden shrimp crackers pack of 3,"134,11",SM Supermarket,2023-10-23,
264,San Miguel Rice Family Size,170.76 eur,Alfamart,2023-10-15,461 kcal
265,DEL MONTE CHOCOLATE BAR,"101,71",7-Eleven,2023-10-13,371 kcal
266,nescafe instant coffee family size,,SM Supermarket,2023-10-03,103 kcal
267,magnolia vienna sausage,112.65,Waltermart,2023-10-14,469 kcal
268,Oishi Soy Sauce Bottle,49.55,Landers,2023-10-05,406 kcal
269,MILO EVAPORATED MILK,161.48,7-Eleven,2023-10-25,536 kcal
270,CDO Oatmeal,$24.20,Alfamart,2023-10-21,409 kcal
271,Chippy  Vienna  Sausage,$57.23,S&R,2023-10-24,189 kcal
272,Piattos Pancit Canton Bottle,189.44,SM Supermarket,2023-10-23,91 kcal
273,CHIPPY TUNA FLAKES,206.30,Waltermart,2023-10-05,104 kcal
274,Magnolia  Wafer,89.56 eur,S&R,2023-10-10,269 kcal
275,Magnolia  Sugar,136.28,Waltermart,2023-10-05,266 cal
276,DEL MONTE VIENNA SAUSAGE,"82,95",7-Eleven,2023-10-09,263 kcal
277,Datu  Puti  Instant  Coffee  Pack  of  3,144.61,Waltermart,2023-10-16,189 kcal
278,Jack 'n Jill Biscuis,96.98 eur,S&R,2023-10-19,111 cal
279,lucky me chocolate drink,153.01,Robinsons Supermarket,2023-10-05,124kcal
280,NESCAFE MAYONNAISE FAMILY SIZE,199.99,Puregold,2023-10-27,197 kcal
281,bear brand peanut butter,,7-Eleven,2023-10-04,107 kcal
282,Milo Sugar Pack of 3,$151.51,Robinsons Supermarket,2023-10-10,421kcal
283,Nescafe  Sugar,,Landers,2023-10-11,103 kcal
284,Del Monte Peanut Butter,82.69,S&R,2023-10-25,466 kcal
285,argentina tomato sauce sachet,34.30,S&R,2023-10-01,256 kcal
286,Mega Mayonnaise,195.33,SM Supermarket,2023-10-26,
287,cdo evaporated milk,$57.78,Landers,2023-10-02,229 kcal
288,Nestle Oatmeal,172.67,Landers,2023-10-05,452 kcal
289,SkyFlakes Beef Loaf Refill Pack,59.20,7-Eleven,2023-10-01,
290,oishi sugar family size,128.85,Landers,2023-10-21,442 kcal
291,Chippy Condensed Milk Sachet,107.36 eur,SM Supermarket,2023-10-18,435 Kcal
292,LUCKY ME INSTANT COFFEE,83.33,7-Eleven,2023-10-20,118 kcal
293,century tuna tuna flakes,"41,02",SM Supermarket,2023-10-21,473 kcal
294,Alaska  Cooking  Oil  Refill  Pack,76.59,Puregold,2023-10-19,523 kcal
295,PIATTOS SOY SAUCE,87.87,S&R,2023-10-21,306 Kcal
296,San Miguel Rice Refill Pack,110.03,SM Supermarket,2023-10-18,283kcal
297,PIATTOS OATMEAL,0,Robinsons Supermarket,2023-10-12,405kcal
298,JACK 'N JILL POTATO CHIPS,,7-Eleven,2023-10-09,428 kcal
299,jack 'n jill tomato sauce,125.27,Puregold,2023-10-11,480 cal
300,CDO Salt,226.91 eur,Waltermart,2023-10-05,309kcal
301,Nova  Sugar,168.02,SM Supermarket,2023-10-19,
302,MILO CHOCOLATE DRINK,4151,SM Supermarket,2023-10-25,
303,Del Monte Chocolate Drink,223.42 eur,7-Eleven,2023-10-08,332 kcal
304,Milo Corned Beef,$115.69,Alfamart,2023-10-22,160 kcal
305,fita instant coffee,,S&R,2023-10-12,326 kcal
306,OISHI HOTDOG,"117,76",Puregold,2023-10-17,129 kcal
307,Century Tuna Mayonnaise,136.27,SM Supermarket,2023-10-15,136 kcal
308,PUREFOODS SARDINES,222.61,7-Eleven,2023-10-13,422 kcal
309,Milo  Cooking  Oil  Bottle,106.69 eur,Robinsons Supermarket,2023-10-07,173 kcal
310,JACK 'N JILL SHRIMP CRACKERS,16400,Landers,2023-10-12,427 kcal
311,PUREFOODS SPAGHETTI SAUCE,102.45 eur,7-Eleven,2023-10-04,97 kcal
312,Argentina Shrimp Crackers Refill Pack,13025,Alfamart,2023-10-21,83 cal
313,Selecta Biscuits,,Landers,2023-10-02,577 cal
314,eden mayonnaise,3304,Alfamart,2023-10-23,123 kcal
315,Del Monte Sardines,$239.62,Waltermart,2023-10-16,151 kcal
316,PUREFOODS CONDENSED MILK REFILL PACK,54.64,Puregold,2023-10-25,231kcal
317,Gardenia  Condensed  Milk  Bottle,$121.24,S&R,2023-10-22,131 cal
318,C2 Cooking Oil,50.41 eur,Robinsons Supermarket,2023-10-25,439 cal
319,FITA CORNED BEEF PACK OF 3,$195.67,Landers,2023-10-13,151 cal
320,Chippy Mayonnaise Family Size,,Alfamart,2023-10-17,202kcal
321,CDO  Salt  Pack  of  3,39.21,Puregold,2023-10-21,505 kcal
322,nova pancit canton,43.14,Robinsons Supermarket,2023-10-01,360 kcal
323,SKYFLAKES COOKIES FAMILY SIZE,$159.51,Puregold,2023-10-27,108 kcal
324,C2 Pancit anton,84.88,Landers,2023-10-17,237 kcal
325,Nescafe Hotdog,49.95,S&R,2023-10-22,
326,skyflakes beef loaf,75.89 eur,Alfamart,2023-10-11,
327,Oishi Corned Beef,0,Landers,2023-10-27,115 kcal
328,Jack 'n Jil Vienna Sausage Pack of 3,"236,76",Puregold,2023-10-16,91 kcal
329,c2 salt,200.71,Puregold,2023-10-27,368 kcal
330,FITA PEANUT BUTTER,$145.99,Waltermart,2023-10-02,189 cal
331,Century Tuna Wafer,138.16,Alfamart,2023-10-09,361 kcal
332,Mega Chees,"45,52",SM Supermarket,2023-10-02,401 Kcal
333,Oishi Rice Family Size,$76.01,Puregold,2023-10-01,506 Kcal
334,NESCAFE TOMATO SAUCE BOTTLE,$112.18,Puregold,2023-10-11,349 Kcal
335,piattos sugar,54.41 eur,7-Eleven,2023-10-24,157 kcal
336,Jack 'n Jill Evaporated Milk,67.99,Robinsons Supermarket,2023-10-06,
337,RENO MAYONNAISE BOTTLE,"246,71",Puregold,2023-10-21,282 kcal
338,nova shrimp crackers,76.38,Landers,2023-10-01,188 kcal
339,San  Miguel  Spaghetti  Sauce,0,Alfamart,2023-10-12,420 kcal
340,NESCAFE INSTANT COFFEE,7742,Alfamart,2023-10-16,472kcal
341,oishi potato chips,125.37,Landers,2023-10-24,89 kcal
342,ALASKA POTATO CHIPS,71.72,Robinsons Supermarket,2023-10-14,
343,Jack 'n Jill Sugar,194.33,Puregold,2023-10-11,246 kcal
344,alaska evaporated milk sachet,245.98,Waltermart,2023-10-06,558 kcal
345,bear brand sugar,200.47,Landers,2023-10-18,374 kcal
346,OISHI TUNA FLAKES,65.71,Robinsons Supermarket,2023-10-25,464 kcal
347,555 POTATO CHIPS,160.29,Alfamart,2023-10-13,138 kcal
348,PUREFOODS SALT PACK OF 3,"160,19",Robinsons Supermarket,2023-10-15,243 Kcal
349,eden evaporated milk sachet,"233,82",7-Eleven,2023-10-13,408 kcal
350,fita cooking oil,160.73,SM Supermarket,2023-10-06,564 Kcal
351,selecta corned beef,$147.43,Alfamart,2023-10-07,106 kcal
352,Eden Corned Beef Pack of 3,178.90,Robinsons Supermarket,2023-10-17,502 kcal
353,Del Monte Cheese Pack of 3,4305,7-Eleven,2023-10-11,93 kcal
354,Alaska  Rice  Family  Size,$69.72,Waltermart,2023-10-06,311 kcal
355,century tuna mayonnaise,72.24,Puregold,2023-10-05,539 Kcal
356,alaska evaporated milk,241.23,SM Supermarket,2023-10-04,238 kcal
357,C2 Salt Family Size,19087,Alfamart,2023-10-15,352 Kcal
358,piattos oatmeal,$223.90,Puregold,2023-10-07,121 kcal
359,selecta peanut butter,,Landers,2023-10-10,394 kcal
