display_title,avg_price,avg_calories,occurrence_count
Magnolia  Spaghetti  Sauce,1294.16,352.4,8
Milo Cheese,163.38,403.4,8
Nestle Soy Sauce,1294.18,387.0,8
Bear  Brand  Corned  Beef,98.66,335.0,8
jack 'n jill vienna sausage,180.99,354.9,8
Purefoods  Sardines,147.65,384.8,8
UFC  Condensed  Milk,115.49,262.1,8
Gardenia  Oatmeal,140.03,339.4,8
Milo  Chocolate  Bar,116.67,338.1,8
Del Monte Shrimp Crackers,794.28,305.5,8
Magnolia  Chocolate  Drink,170.66,366.9,8
Datu  Puti  Cheese,129.2,306.6,8
San  Miguel  Chocolate  Bar,120.48,339.4,8
Bear  Brand  Cheese,149.66,429.8,8
Gardenia  Soy  Sauce,129.75,317.0,8
Nestle  Instant  Coffee,152.5,362.5,8
SkyFlakes  Instant  Coffee,105.87,312.8,8
555  Tuna  Flakes,151.78,319.1,8
Purefoods  Hotdog,127.07,278.8,8
555 MAYONNAISE,178.32,359.5,8
GARDENIA HOTDOG,134.83,400.2,8
Alaska  Soy  Sauce,572.53,318.1,8
Jack  'n  Jill  Tomato  Sauce,111.58,236.1,8
Selecta  Corned  Beef,115.68,243.9,8
Reno  Corned  Beef,443.61,400.8,8
skyflakes fruit juice,144.32,314.8,8
Chippy  Mayonnaise,108.25,364.4,8
san miguel fruit juice,126.4,318.4,8
Jack  'n  Jill  Sardines,107.54,352.6,8
selecta tuna flakes,105.11,284.9,8
eden mayonnaise,523.14,246.9,8
Piattos  Oatmeal,404.1,297.1,8
Selecta  Chocolate  Bar,105.67,239.1,8
Purefoods  Cookies,117.38,345.2,8
Fita  Cooking  Oil,175.5,343.1,8
cdo hotdog,134.66,317.3,7
C2  Oatmeal,99.57,297.1,7
Milo  Vienna  Sausage,123.84,360.7,7
Reno  Sardines,146.36,273.9,7
Oishi Pancit Canton,552.43,327.6,7
Nova  Sugar,172.47,366.1,7
Milo  Tuna  Flakes,1056.69,392.4,7
CDO  Biscuits,111.07,286.3,7
reno instant coffee,134.71,333.1,7
san miguel sardines,156.87,268.7,7
Oishi  Chocolate  Drink,201.21,332.4,7
bear brand spaghetti sauce,128.3,415.9,7
Century  Tuna  Soy  Sauce,145.34,343.7,7
MAGNOLIA SHRIMP CRACKERS,136.36,404.9,7
OISHI PEANUT BUTTER,131.66,412.1,7
SkyFlakes  Potato  Chips,145.86,336.0,7
555  Cheese,147.9,331.0,7
Fita  Rice,1189.47,330.9,7
Magnolia  Condensed  Milk,480.84,338.0,7
Century  Tuna  Beef  Loaf,624.84,375.7,7
nestle cooking oil,86.59,429.7,7
Oishi Cheese,137.92,368.6,7
Oishi Salt,169.4,268.3,7
Alaska  Tomato  Sauce,146.97,268.7,7
C2  Wafer,124.86,306.0,7
Reno  Peanut  Butter,158.28,470.6,7
Bear  Brand  Pancit  Canton,111.09,363.4,7
Datu  Puti  Potato  Chips,119.01,434.4,7
Selecta  Rice,878.96,402.0,7
Oishi  Condensed  Milk,158.84,430.7,7
NOVA RICE,110.83,379.9,7
C2  Corned  Beef,155.79,397.1,7
Datu  Puti  Cookies,101.35,270.3,7
Fita  Sugar,162.27,319.9,7
CDO  Evaporated  Milk,162.07,370.7,7
Lucky  Me  Mayonnaise,158.64,328.7,7
Jack  'n  Jill  Cooking  Oil,167.92,221.7,7
Nescafe  Hotdog,132.3,357.1,7
Selecta  Chocolate  Drink,165.3,414.9,7
Bear  Brand  Condensed  Milk,90.22,339.3,7
bear brand tomato sauce,62.97,284.9,7
MILO COOKIES,117.75,319.3,7
Monde  Spaghetti  Sauce,93.38,344.0,7
fita pancit canton,168.01,350.9,7
Oishi  Biscuits,187.87,355.7,7
Alaska  Oatmeal,124.1,308.6,7
Magnolia Crackers,104.41,313.3,7
Bear  Brand  Shrimp  Crackers,126.42,387.0,7
DATU PUTI PANCIT CANTON,166.66,315.4,7
DEL MONTE COOKING OIL,129.43,285.3,7
del monte beef loaf,118.16,219.7,7
SAN MIGUEL SALT,113.1,334.4,7
CDO COOKING OIL,102.2,294.4,7
Mega  Sugar,114.98,241.1,7
Eden  Sugar,120.18,325.4,7
Chippy  Chocolate  Bar,127.06,369.1,7
Magnolia  Sugar,121.18,335.1,7
555 Peanut Butter,189.9,304.4,7
Del Monte Sardines,154.41,323.7,7
CENTURY TUNA CHEESE,115.08,419.0,7
Oishi  Beef  Loaf,175.87,395.1,7
555 FRUIT JUICE,132.17,338.3,7
UFC  Tuna  Flakes,163.87,335.0,7
Fita  Tomato  Sauce,181.82,314.1,7
Chippy Biscuits,145.04,349.3,7
CENTURY TUNA VIENNA SAUSAGE,149.77,362.6,7
Gardenia  Chocolate  Drink,1540.31,259.3,7
Argentina Crackers,135.4,239.4,7
Nescafe Tomato Sauce,105.43,350.7,7
Del  Monte  Chocolate  Drink,156.47,318.3,7
Nestle Condensed Milk,93.54,322.3,7
Chippy Tomato Sauce,123.84,341.7,7
Purefoods  Peanut  Butter,1200.54,289.7,7
ARGENTINA SPAGHETTI SAUCE,174.9,432.9,7
Lucky  Me  Fruit  Juice,131.86,262.4,7
fita beef loaf,82.76,326.4,7
mega rice,108.56,392.0,7
Monde  Condensed  Milk,134.27,288.7,7
Jack  'n  Jill  Fruit  Juice,130.57,404.1,7
Bear  Brand  Wafer,131.35,287.0,7
Nestle  Shrimp  Crackers,87.36,351.1,7
LUCKY ME COOKIES,158.35,286.9,7
Magnolia Tuna Flakes,84.75,436.1,7
Bear Brand Beef Loaf,131.98,367.8,6
Century  Tuna  Crackers,111.71,285.7,6
CDO  Salt,135.95,299.7,6
Datu  Puti  Wafer,114.62,340.8,6
Selecta  Cooking  Oil,118.8,367.7,6
alaska mayonnaise,133.87,348.5,6
Nova  Shrimp  Crackers,1413.16,253.8,6
selecta peanut butter,114.5,333.0,6
UFC Chocolate Drink,145.1,337.8,6
JACK 'N JILL INSTANT COFFEE,114.66,446.0,6
555  Soy  Sauce,130.33,303.2,6
Jack  'n  Jill  Condensed  Milk,118.59,347.8,6
nova corned beef,112.18,379.8,6
Nestle  Salt,102.97,329.0,6
eden tuna flakes,728.44,263.8,6
Monde Chocolate Bar,144.85,322.5,6
Del  Monte  Condensed  Milk,128.12,339.7,6
alaska potato chips,397.99,332.5,6
Oishi  Crackers,112.07,315.2,6
UFC RICE,1724.63,453.5,6
Nova  Pancit  Canton,165.14,379.7,6
SELECTA CRACKERS,179.25,275.0,6
gardenia sardines,667.16,421.5,6
skyflakes tomato sauce,99.08,368.0,6
Fita  Chocolate  Drink,118.56,434.7,6
Reno Spaghetti Sauce,1743.94,367.2,6
Nestle  Tuna  Flakes,142.83,351.2,6
Magnolia  Hotdog,123.56,324.2,6
lucky me crackers,161.21,210.7,6
del monte sugar,169.45,463.8,6
CDO Oatmeal,134.23,385.2,6
Milo  Corned  Beef,142.99,231.0,6
Argentina  Tomato  Sauce,166.39,333.3,6
UFC SOY SAUCE,138.06,277.3,6
Eden  Oatmeal,96.85,305.2,6
gardenia rice,894.51,483.0,6
Reno  Fruit  Juice,135.6,313.5,6
c2 sugar,192.01,357.3,6
C2 Instant Coffee,119.78,283.7,6
Argentina Peanut Butter,108.3,321.8,6
SkyFlakes  Chocolate  Bar,121.13,301.2,6
Milo  Spaghetti  Sauce,159.92,292.3,6
Fita  Corned  Beef,150.98,299.0,6
Gardenia  Biscuits,149.99,440.7,6
Nova  Spaghetti  Sauce,82.49,409.5,6
Fita  Cheese,153.87,453.7,6
SkyFlakes  Cooking  Oil,110.49,336.5,6
CDO Chocolate Drink,121.46,422.7,6
eden soy sauce,108.78,347.0,6
Chippy  Fruit  Juice,166.97,416.0,6
Nescafe  Chocolate  Drink,107.27,410.7,6
Del  Monte  Crackers,140.68,199.7,6
Nova Salt,813.52,349.5,6
ufc vienna sausage,128.22,424.8,6
nescafe vienna sausage,153.25,336.8,6
RENO SOY SAUCE,132.0,458.8,6
Del  Monte  Chocolate  Bar,159.47,355.7,6
argentina potato chips,111.85,236.7,6
Purefoods  Spaghetti  Sauce,1717.23,336.3,6
C2 CHOCOLATE DRINK,157.26,279.8,6
Chippy  Hotdog,146.49,336.2,6
Bear  Brand  Cooking  Oil,186.1,322.8,6
SkyFlakes  Soy  Sauce,98.9,385.2,6
Oishi  Shrimp  Crackers,95.72,394.3,6
San Miguel Shrimp Crackers,111.29,338.8,6
555  Oatmeal,121.98,391.0,6
Monde  Biscuits,133.39,436.7,6
Del  Monte  Cookies,78.52,317.3,6
Nescafe Condensed Milk,195.84,479.2,6
CDO  Cookies,130.9,343.3,6
Lucky  Me  Vienna  Sausage,121.99,244.7,6
Mega Wafer,157.38,368.5,6
chippy rice,606.07,393.7,6
Argentina Beef Loaf,141.14,283.0,6
EDEN VIENNA SAUSAGE,1671.16,354.8,6
Lucky Me Sardines,109.7,441.3,6
Argentina  Chocolate  Bar,114.38,413.0,6
Del  Monte  Hotdog,1378.8,398.8,6
Lucky  Me  Hotdog,952.76,478.2,6
SkyFlakes  Rice,151.5,315.8,6
Nescafe  Potato  Chips,103.51,363.2,6
Lucky  Me  Corned  Beef,146.88,337.3,6
datu puti spaghetti sauce,139.33,303.8,6
PIATTOS HOTDOG,151.52,376.7,6
Bear Brand Cookies,125.84,342.7,6
eden potato chips,135.99,330.2,6
555 POTATO CHIPS,127.01,300.3,6
Fita Spaghetti Sauce,144.59,300.3,6
datu puti vienna sausage,94.47,323.8,6
SkyFlakes  Shrimp  Crackers,88.38,381.8,6
Century  Tuna  Fruit  Juice,84.07,365.5,6
san miguel wafer,156.38,216.7,6
Gardenia  Corned  Beef,155.73,425.8,6
JACK 'N JILL CRACKERS,140.87,271.2,6
Purefoods Fruit Juice,140.64,260.8,6
Magnolia  Vienna  Sausage,137.56,281.0,6
Alaska Condensed Milk,133.79,241.7,6
argentina cookies,170.24,400.3,6
Nescafe Spaghetti Sauce,153.41,364.2,6
Monde  Cheese,120.01,359.5,6
Magnolia  Instant  Coffee,124.77,291.7,6
Nova  Crackers,114.95,249.7,6
gardenia vienna sausage,149.42,253.2,6
Eden  Wafer,138.4,356.2,6
555 Shrimp Crackers,135.97,310.2,6
555 Hotdog,104.4,395.2,6
San  Miguel  Potato  Chips,1690.48,375.5,6
LUCKY ME CHEESE,1477.47,462.8,6
Nescafe  Mayonnaise,119.35,408.0,6
Nova  Chocolate  Drink,73.54,421.7,6
MEGA CHEESE,177.52,378.2,6
purefoods instant coffee,163.17,332.5,6
nescafe soy sauce,89.01,365.0,6
PUREFOODS TOMATO SAUCE,135.78,312.2,6
ufc corned beef,101.2,408.8,6
oishi evaporated milk,69.49,401.7,6
del monte pancit canton,120.89,445.3,6
ALASKA CHEESE,155.76,341.0,6
Argentina  Biscuits,90.53,358.8,6
Nestle  Hotdog,90.13,321.0,6
Nestle  Mayonnaise,137.97,378.5,6
UFC  Sugar,362.77,213.5,6
piattos condensed milk,147.89,300.3,6
Nescafe  Pancit  Canton,133.25,409.3,6
DEL MONTE VIENNA SAUSAGE,110.17,345.3,6
Reno  Evaporated  Milk,169.54,319.5,6
UFC  Crackers,165.64,370.0,6
nova cooking oil,178.98,211.0,6
nova biscuits,156.88,322.8,6
Alaska  Cookies,170.11,367.8,6
PIATTOS TOMATO SAUCE,191.19,346.5,6
Gardenia  Instant  Coffee,89.2,349.8,6
Lucky  Me  Cooking  Oil,181.07,348.4,5
gardenia sugar,179.54,369.0,5
Chippy Spaghetti Sauce,151.97,280.2,5
Jack  'n  Jill  Biscuits,178.39,426.4,5
Monde  Shrimp  Crackers,168.37,321.0,5
Monde  Mayonnaise,168.73,222.6,5
jack 'n jill sugar,122.84,357.8,5
Reno  Cooking  Oil,144.93,311.0,5
Eden  Evaporated  Milk,179.16,263.8,5
PIATTOS SOY SAUCE,136.94,330.8,5
c2 evaporated milk,123.3,301.8,5
Bear  Brand  Hotdog,134.32,236.0,5
piattos chocolate drink,139.9,428.2,5
Eden Spaghetti Sauce,109.23,399.6,5
Datu Puti Salt,148.79,252.8,5
Magnolia  Cooking  Oil,134.09,279.8,5
MONDE PANCIT CANTON,134.97,298.0,5
Milo  Tomato  Sauce,157.42,408.2,5
Bear Brand Oatmeal,104.12,290.6,5
alaska vienna sausage,141.77,390.8,5
Reno  Rice,134.89,275.6,5
San  Miguel  Spaghetti  Sauce,158.02,255.6,5
nova tuna flakes,138.83,395.0,5
purefoods vienna sausage,131.29,295.8,5
Selecta Tomato Sauce,109.92,405.0,5
Oishi  Hotdog,139.6,326.4,5
Magnolia  Corned  Beef,712.79,394.8,5
EDEN CONDENSED MILK,153.82,305.4,5
555 Condensed Milk,144.73,402.6,5
magnolia oatmeal,129.58,242.0,5
Lucky  Me  Shrimp  Crackers,1987.15,378.2,5
Fita Condensed Milk,67.19,293.8,5
lucky me tuna flakes,157.02,382.4,5
Reno  Mayonnaise,114.13,225.6,5
Nescafe  Fruit  Juice,123.13,363.4,5
NOVA CHOCOLATE BAR,95.58,441.4,5
Piattos Potato Chips,1458.93,407.8,5
RENO PANCIT CANTON,113.13,405.4,5
lucky me chocolate drink,116.4,272.4,5
SKYFLAKES CORNED BEEF,164.14,312.0,5
milo mayonnaise,103.52,360.4,5
Monde Tomato Sauce,99.49,359.2,5
Argentina Tuna Flakes,199.64,309.2,5
CDO  Peanut  Butter,123.3,323.8,5
UFC  Fruit  Juice,599.42,254.4,5
c2 fruit juice,192.83,309.2,5
San Miguel Biscuits,124.17,221.8,5
Century  Tuna  Tuna  Flakes,139.05,321.2,5
chippy crackers,109.72,369.6,5
Oishi  Tomato  Sauce,112.0,257.8,5
CDO  Tomato  Sauce,409.81,254.2,5
Jack  'n  Jill  Tuna  Flakes,163.16,467.6,5
Century Tuna Hotdog,146.68,304.4,5
Jack 'n Jill Peanut Butter Refill Pack,87.81,253.2,5
Magnolia  Tomato  Sauce,108.06,446.2,5
Del  Monte  Mayonnaise,132.99,179.2,5
Milo  Oatmeal,101.02,241.4,5
JACK 'N JILL COOKIES,99.57,426.2,5
c2 condensed milk,118.68,473.4,5
San  Miguel  Cooking  Oil,153.6,179.4,5
UFC Biscuits,192.02,245.2,5
GARDENIA CHOCOLATE DRINK SACHET,131.08,359.6,5
C2  Hotdog,137.83,322.8,5
Purefoods  Shrimp  Crackers,130.49,320.0,5
Fita Shrimp Crackers,112.0,316.0,5
Jack 'n Jill Evaporated Milk,1964.95,318.0,5
C2  Vienna  Sausage,152.34,363.2,5
piattos beef loaf,1294.03,406.8,5
UFC TOMATO SAUCE,164.53,368.2,5
Oishi  Mayonnaise,104.37,408.0,5
Fita  Biscuits,197.81,359.6,5
CDO Cheese,157.4,401.0,5
Del  Monte  Cheese,133.44,337.8,5
555  Chocolate  Bar,148.52,360.2,5
Oishi Sardines,89.24,393.8,5
Piattos Spaghetti Sauce,146.96,389.4,5
argentina instant coffee,131.73,374.8,5
CDO Potato Chips,101.54,448.4,5
Nestle  Tomato  Sauce,101.82,313.8,5
SAN MIGUEL TUNA FLAKES,173.57,448.2,5
555  Crackers,97.36,442.0,5
MEGA EVAPORATED MILK,101.03,308.0,5
Mega  Shrimp  Crackers,181.44,443.8,5
UFC  Cooking  Oil,175.84,272.2,5
cdo condensed milk,88.23,302.8,5
monde wafer,174.77,298.2,5
monde sugar,122.12,368.8,5
DATU PUTI SUGAR,41.83,382.2,5
555 Evaporated Milk,129.09,394.6,5
Magnolia  Potato  Chips,90.3,330.6,5
CDO  Shrimp  Crackers,1210.53,389.2,5
CDO  Beef  Loaf,539.06,261.8,5
MEGA TUNA FLAKES,163.7,304.6,5
SKYFLAKES BISCUITS,160.12,354.4,5
lucky me spaghetti sauce,116.31,431.0,5
Datu Puti Evaporated Milk,121.47,421.4,5
Bear Brand Soy Sauce,159.89,216.2,5
Nova  Evaporated  Milk,88.88,268.6,5
Monde  Corned  Beef,144.18,277.0,5
Milo Salt,82.18,382.4,5
Argentina Hotdog,1830.42,264.4,5
Chippy Sugar,159.89,365.0,5
Datu  Puti  Hotdog,142.47,342.8,5
eden beef loaf,1321.34,372.0,5
RENO HOTDOG,180.96,213.8,5
Alaska  Shrimp  Crackers,880.98,493.0,5
UFC MAYONNAISE,145.0,412.8,5
selecta cheese,571.36,303.4,5
Eden  Salt,111.2,361.0,5
MILO CRACKERS,128.08,416.4,5
Gardenia  Crackers,145.24,400.2,5
Monde  Evaporated  Milk,113.6,346.8,5
Del Monte Instant Coffee,96.1,317.8,5
Argentina  Wafer,109.65,204.4,5
Century  Tuna  Biscuits,141.29,352.8,5
ARGENTINA PANCIT CANTON,136.28,407.8,5
555  Salt,122.21,276.4,5
Eden  Peanut  Butter,106.4,240.0,5
Purefoods  Mayonnaise,169.45,467.0,5
Piattos  Crackers,143.14,311.0,5
Alaska  Tuna  Flakes,147.95,270.8,5
Monde  Rice,121.97,250.2,5
Mega  Potato  Chips,110.0,459.8,5
Gardenia Condensed Milk,102.91,379.0,5
Datu  Puti  Corned  Beef,114.47,383.2,5
Nova  Oatmeal,113.99,271.6,5
Fita  Tuna  Flakes,223.61,470.0,5
555 sardines,114.7,290.4,5
MAGNOLIA SARDINES,647.37,361.4,5
selecta pancit canton,138.59,272.4,5
Purefoods Chocolate Bar,1985.41,278.0,5
Mega  Peanut  Butter,149.72,273.0,5
Del  Monte  Wafer,88.13,291.0,5
selecta evaporated milk,113.22,295.8,5
FITA PEANUT BUTTER,97.23,396.4,5
Monde  Oatmeal,119.76,338.2,5
cdo corned beef,104.83,344.6,5
Jack 'n Jill Potato Chips,716.85,293.0,5
Lucky  Me  Pancit  Canton,109.71,368.8,5
Nescafe  Cheese,164.51,335.6,5
Reno Vienna Sausage,95.51,309.0,5
bear brand salt,163.33,240.2,5
SkyFlakes  Vienna  Sausage,130.87,249.4,5
Fita  Instant  Coffee,132.03,196.8,5
c2 shrimp crackers,70.68,408.2,5
C2  Beef  Loaf,143.04,414.8,5
Reno  Beef  Loaf,101.54,456.6,5
Alaska  Chocolate  Drink,146.55,291.0,5
CENTURY TUNA COOKIES,159.87,453.2,5
SkyFlakes  Cookies,119.69,353.0,5
CDO  Pancit  Canton,108.05,344.8,5
milo potato chips,172.71,431.6,5
CDO SOY SAUCE,157.77,343.2,5
Chippy Wafer,109.02,402.0,5
C2  Crackers,121.41,311.4,5
Nestle  Cheese  Family  Size,1767.55,295.0,5
argentina corned beef,138.54,313.8,5
SkyFlakes Pancit Canton,133.95,238.2,5
Nestle  Beef  Loaf,138.19,241.0,5
San Miguel Condensed Milk,125.9,256.6,5
Magnolia  Mayonnaise,79.46,462.6,5
Magnolia Chocolate Bar,92.41,472.2,5
Argentina Salt,205.16,325.2,5
Eden Cookies Refill Pack,153.0,321.6,5
Century  Tuna  Chocolate  Drink,126.1,345.0,5
reno oatmeal,161.77,209.0,4
UFC  Potato  Chips,176.13,491.2,4
Lucky  Me  Beef  Loaf,154.94,396.5,4
Jack  'n  Jill  Salt,124.29,308.8,4
Datu Puti Pancit Canton Pack of 3,157.98,281.5,4
Nestle  Oatmeal,154.7,308.8,4
SkyFlakes  Cheese,152.39,319.0,4
Nescafe  Peanut  Butter,198.56,192.8,4
555 Instant Coffee,132.3,413.5,4
Reno Cheese,138.21,279.0,4
purefoods sugar,163.99,326.5,4
Nescafe Shrimp Crackers,91.35,438.5,4
jack 'n jill rice,1991.81,295.8,4
Eden  Biscuits,189.76,312.5,4
Lucky  Me  Tomato  Sauce,111.72,366.0,4
nescafe evaporated milk,120.8,525.2,4
mega cookies,149.54,277.0,4
PIATTOS MAYONNAISE,175.68,224.5,4
San  Miguel  Oatmeal,94.38,333.5,4
Alaska Pancit Canton,88.35,361.0,4
San  Miguel  Tomato  Sauce,93.99,371.0,4
Nescafe  Cookies,115.01,441.2,4
Chippy  Condensed  Milk,92.4,282.8,4
nestle fruit juice,152.34,431.2,4
monde cookies,158.46,284.5,4
Jack 'n Jill Peanut Butter,110.2,224.0,4
milo pancit canton,113.72,353.8,4
Reno  Chocolate  Drink,134.68,302.2,4
nestle sugar,95.64,302.2,4
San Miguel Crackers,178.46,380.8,4
gardenia cookies,136.47,348.8,4
555 wafer,1639.14,405.5,4
Piattos  Fruit  Juice,131.94,372.8,4
Milo  Rice,185.94,300.8,4
SkyFlakes Sugar,66.8,253.0,4
cdo sardines,156.29,357.8,4
CHIPPY CHEESE,108.93,311.8,4
PIATTOS SARDINES REFILL PACK,185.45,376.5,4
Datu Puti Beef Loaf,153.94,327.0,4
Nescafe  Tuna  Flakes  Refill  Pack,140.24,390.2,4
MILO BEEF LOAF,80.09,291.8,4
gardenia wafer,157.4,500.2,4
Reno  Tuna  Flakes,196.75,303.8,4
555  Chocolate  Drink,99.36,278.5,4
MAGNOLIA SOY SAUCE,78.81,330.0,4
Bear Brand Biscuits,155.4,286.5,4
NOVA HOTDOG,103.38,411.0,4
Del Monte Oatmeal,119.13,390.5,4
BEAR BRAND FRUIT JUICE,77.18,352.0,4
skyflakes spaghetti sauce,88.8,310.2,4
Selecta  Oatmeal,104.48,198.8,4
san miguel instant coffee,134.36,398.0,4
C2  Sardines,107.18,402.2,4
ALASKA SUGAR,162.57,308.8,4
piattos cookies,91.09,516.0,4
Gardenia  Tuna  Flakes,106.36,345.0,4
skyflakes pancit canton pack of 3,113.06,330.0,4
Chippy Pancit Canton,108.96,256.2,4
Nestle Cheese,833.42,289.5,4
Eden  Corned  Beef,93.82,412.2,4
FITA EVAPORATED MILK,211.51,330.0,4
Mega  Spaghetti  Sauce,138.64,290.5,4
Purefoods Potato Chips,122.65,284.2,4
magnolia rice,180.76,151.0,4
monde beef loaf,118.35,402.5,4
nestle pancit canton,165.51,319.2,4
piattos sugar,127.83,347.0,4
Alaska  Beef  Loaf,63.69,417.2,4
datu puti chocolate bar,117.14,372.8,4
Alaska  Fruit  Juice,189.8,352.2,4
magnolia beef loaf,101.59,424.5,4
purefoods soy sauce,169.77,258.2,4
Mega  Tomato  Sauce,164.02,328.8,4
magnolia condensed milk sachet,193.07,263.5,4
Bear Brand Condensed Milk Refill Pack,135.16,355.0,4
PIATTOS TUNA FLAKES,126.86,157.8,4
Lucky  Me  Sugar,193.25,299.0,4
Oishi Chocolate Bar,128.93,422.8,4
NESTLE COOKIES,155.0,287.8,4
nescafe oatmeal,928.99,384.2,4
Nestle Biscuits,182.68,316.0,4
Purefoods  Beef  Loaf,134.24,448.8,4
Nova  Peanut  Butter,120.42,370.8,4
Purefoods Corned Beef,177.78,346.5,4
Chippy Mayonnaise Refill Pack,187.82,203.5,4
555  Beef  Loaf,176.14,224.0,4
Datu Puti Oatmeal,165.32,227.5,4
nova instant coffee,92.28,330.2,4
Mega Corned Beef,135.06,279.2,4
NESCAFE INSTANT COFFEE,2050.62,440.8,4
Chippy  Evaporated  Milk,111.6,417.5,4
bear brand salt refill pack,117.69,323.8,4
Chippy  Oatmeal,197.27,214.5,4
Nova  Beef  Loaf,74.68,204.0,4
alaska crackers,168.04,274.5,4
Argentina  Evaporated  Milk,147.31,261.0,4
SAN MIGUEL PEANUT BUTTER,89.5,455.0,4
Piattos  Instant  Coffee,105.72,439.2,4
Alaska  Cooking  Oil,153.92,425.0,4
Reno  Sugar,164.14,388.2,4
Monde Vienna Sausage,2524.72,307.2,4
Selecta Mayonnaise,140.61,311.2,4
San Miguel Pancit Canton,97.1,474.0,4
century tuna shrimp crackers,83.52,365.0,4
Purefoods  Chocolate  Drink,115.42,349.8,4
Piattos  Cheese,145.91,341.0,4
Lucky  Me  Chocolate  Bar,177.23,404.0,4
Lucky  Me  Peanut  Butter  Bottle,206.42,215.0,4
mega fruit juice,187.48,296.0,4
Purefoods  Rice,149.44,455.5,4
Chippy Cookies Pack of 3,88.25,435.2,4
Nescafe  Wafer,95.62,343.0,4
NESCAFE SUGAR,128.7,231.0,4
Oishi  Cooking  Oil,113.09,360.0,4
skyflakes peanut butter,186.64,284.0,4
CENTURY TUNA OATMEAL,83.96,301.0,4
Argentina  Soy  Sauce,93.66,242.5,4
monde sardines,69.27,372.5,4
Datu  Puti  Instant  Coffee,160.56,454.2,4
Jack 'n Jill Beef Loaf,154.68,249.5,4
Del  Monte  Rice,160.84,379.0,4
nestle crackers,151.38,508.2,4
jack 'n jill wafer,162.17,517.5,4
Reno  Hotdog  Family  Size,103.48,282.0,4
ARGENTINA FRUIT JUICE,85.76,351.0,4
UFC Wafer,140.45,375.2,4
FITA CRACKERS,112.52,219.0,4
Jack  'n  Jill  Cheese,105.32,478.5,4
alaska salt,134.39,219.8,4
Argentina Condensed Milk,107.75,389.8,4
