display_title,avg_price,avg_mileage,occurrence_count
Isuzu  Fortuner  Negotiable,1080242.23,124935.2,624
Honda  BR-V  Negotiable,1104842.74,126101.4,624
Isuzu  Navara  Negotiable,1078800.07,124117.0,623
Isuzu  BR-V  Certified,1069244.32,122794.9,623
Suzuki  MU-X  Certified,1067702.16,127313.1,623
Hyundai  Innova  Negotiable,1040573.13,128689.0,623
Chevrolet  Accent  Certified,1049157.72,126792.7,622
Suzuki  Mirage  Negotiable,1084939.28,122743.9,622
Ford  Ertiga  Negotiable,1089891.38,131148.6,622
Kia  Wigo  Negotiable,1088030.69,123744.8,622
Ford  MU-X  Negotiable,1086223.19,119670.5,622
Isuzu  Accent  Negotiable,1048418.24,126956.7,622
Mazda  Tucson  Negotiable,1078273.7,120726.5,621
MG  BR-V  Negotiable,1087094.27,125372.8,621
Mazda  Mirage  Negotiable,1066665.71,125360.0,621
Nissan  Civic  Negotiable,1063887.75,126750.9,621
Geely  Wigo  Negotiable,1088996.94,123523.0,621
Chevrolet  Navara  Negotiable,1092886.62,126510.9,621
MG  Tucson  Certified,1078383.18,124502.4,621
Mazda  CX-5  Negotiable,1035879.63,129630.5,620
Suzuki  Tucson  Negotiable,1052938.57,123223.5,620
Honda  Wigo  Negotiable,1069031.63,126431.3,620
Mazda  Sportage  Negotiable,1079870.37,126250.3,620
Toyota  Civic  Negotiable,1088755.8,123231.0,620
Chevrolet  Almera  Negotiable,1076822.87,125400.0,620
MG  Accent  Negotiable,1090963.45,122859.3,620
Mazda  Navara  Negotiable,1049161.24,128276.0,619
Nissan  HR-V  Negotiable,1070845.01,122016.8,619
Kia  Civic  Negotiable,1089471.03,120935.6,619
Honda  Navara  Negotiable,1106656.35,124550.9,618
MG  CR-V  Negotiable,1069326.47,126425.2,618
Mitsubishi  Fortuner  Negotiable,1112996.05,125428.5,618
Chevrolet  Fortuner  Negotiable,1085633.07,129447.5,618
Mitsubishi  Vios  Negotiable,1063833.76,129487.2,618
Toyota  CR-V  Negotiable,1107977.29,119251.6,618
Mitsubishi  Innova  Negotiable,1087969.54,127676.8,617
Kia  Picanto  Negotiable,1074773.26,124282.9,617
Ford  Sportage  Negotiable,1075380.72,123249.2,617
Nissan  Picanto  Negotiable,1088806.2,122134.6,617
Mazda  Picanto  Negotiable,1105846.79,122832.5,617
Isuzu  Wigo  Certified,1100563.32,123510.9,617
Honda  D-Max  Negotiable,1059845.21,120559.0,616
Isuzu  Xpander  Negotiable,1048335.47,121663.1,616
Foton  Montero  Sport  Negotiable,1005457.18,119293.0,616
Hyundai  BR-V  Negotiable,1107648.07,122862.0,616
Ford  Accent  Negotiable,1039506.44,124120.9,616
Isuzu  Ertiga  Negotiable,1096651.77,118604.1,616
Kia  Mirage  Negotiable,1108722.2,127405.7,616
Mitsubishi  Navara  Negotiable,1103481.45,127697.8,616
Mitsubishi  Accent  Negotiable,1094501.67,122595.9,616
Nissan  EcoSport  Negotiable,1077136.95,124001.0,616
Kia  Almera  Negotiable,1054820.04,124556.8,615
Mitsubishi  HR-V  Negotiable,1091247.43,120927.2,615
Hyundai  Almera  Negotiable,1062201.82,126988.4,615
Chevrolet  Mirage  Negotiable,1076570.48,124365.0,615
MG  Ertiga  Negotiable,1075098.63,121388.5,615
Nissan  Navara  Negotiable,1056312.74,121423.8,615
Geely  Ertiga  Negotiable,1077165.81,123796.7,615
Toyota  BR-V  Negotiable,1085064.89,124267.6,614
Mitsubishi  Montero  Sport  Negotiable,1101177.42,119544.9,614
Hyundai  Tucson  Negotiable,1040179.09,124219.4,614
Mitsubishi  Ertiga  Negotiable,1084617.0,125346.5,614
Honda  MU-X  Negotiable,1080143.83,129678.6,614
Isuzu  Tucson  Negotiable,1065282.55,124274.0,614
Chevrolet  EcoSport  Negotiable,1087936.64,122660.3,614
Geely  Civic  Negotiable,1074165.25,123612.4,613
mitsubishi tucson negotiable,1110377.23,124621.1,613
Toyota  EcoSport  Negotiable,1085593.93,121355.1,613
Toyota  Xpander  Negotiable,1040565.27,123431.5,613
Mitsubishi  Mirage  Negotiable,1064479.28,125201.8,613
Mazda  Montero  Sport  Negotiable,1101008.7,125475.2,612
Mazda  BR-V  Certified,1122307.95,129172.7,612
Ford  Mirage  Negotiable,1071056.43,121884.7,612
Suzuki  City  Certified,1107617.7,129081.2,612
Ford  City  Negotiable,1047464.84,127621.2,612
MG  Mirage  Negotiable,1086957.3,122418.0,611
Hyundai  Ranger  Negotiable,1043787.94,121322.8,611
Kia  Sportage  Negotiable,1093698.85,123170.5,610
MG  Montero  Sport  Negotiable,1061789.41,127195.1,610
Toyota  Fortuner  Negotiable,1080887.99,125511.7,610
Nissan  City  Negotiable,1091487.44,120989.4,610
Nissan  CX-5  Negotiable,1064084.37,120677.2,610
Hyundai  D-Max  Negotiable,1096304.07,120831.8,610
Toyota  Ertiga  Negotiable,1071166.14,126110.5,609
Honda  Fortuner  Negotiable,1064586.81,126625.3,609
Chevrolet  Tucson  Negotiable,1074395.22,120380.5,609
Nissan  Innova  Negotiable,1073443.42,130749.2,609
Kia  Tucson  Negotiable,1108963.08,119871.2,609
Mazda  MU-X  Negotiable,1065122.4,125175.3,609
Kia  Navara  Negotiable,1110064.12,122383.7,609
Nissan  Tucson  Negotiable,1061750.68,128514.0,608
Ford  Montero  Sport  Negotiable,1101303.6,124970.7,608
Chevrolet  Sportage  Negotiable,1058986.27,126751.2,608
Geely  Navara  Negotiable,1078374.85,125541.9,608
Nissan  BR-V  Negotiable,1084937.6,122562.5,608
Geely  City  Negotiable,1086763.63,122492.8,607
Chevrolet  BR-V  Negotiable,1043093.94,127056.5,607
Isuzu  Mirage  Negotiable,1068947.16,124287.6,607
Suzuki  Ertiga  Negotiable,1072571.33,129760.9,607
Kia  Vios  Negotiable,1052965.49,118749.8,607
Toyota  CX-5  Negotiable,1062410.07,124903.2,606
Toyota  Mirage  Negotiable,1065211.86,126654.8,606
Suzuki  Ranger  Negotiable,1065812.97,128345.5,606
Mazda  Accent  Negotiable,1065803.31,125855.8,606
Ford  Wigo  Negotiable,1034902.18,121600.7,606
MG  Wigo  Negotiable,1120549.03,124586.8,606
Kia  BR-V  Negotiable,1092573.66,119994.7,606
Ford  BR-V  Negotiable,1043357.79,119217.4,605
Hyundai  EcoSport  Negotiable,1078775.15,126449.7,605
Geely  Mirage  Negotiable,1111090.33,122979.3,605
Suzuki  BR-V  Negotiable,1081134.78,128185.4,605
Chevrolet  HR-V  Negotiable,1050656.49,126280.3,605
Hyundai  MU-X  Negotiable,1091223.9,130252.2,604
Honda  CR-V  Negotiable,1095894.36,123980.4,604
Kia  Innova  Negotiable,1068433.21,122952.6,604
Suzuki  EcoSport  Certified,1092729.27,124989.4,604
Isuzu  EcoSport  Negotiable,1034959.24,125634.2,604
Suzuki  Sportage  Negotiable,1072975.65,123884.2,604
MG  Vios  Negotiable,1077090.52,124060.7,604
Isuzu  Almera  Certified,1080333.59,127013.6,604
Mazda  Fortuner  Negotiable,1091125.29,128165.7,604
Ford  Ranger  Negotiable,1073849.45,126230.6,603
Ford  EcoSport  Negotiable,1075592.8,126990.0,603
Foton  Civic  Negotiable,1099944.33,122041.7,603
Hyundai  Sportage  Negotiable,1052924.64,128600.4,602
Geely  MU-X  Negotiable,1030296.93,125654.6,602
Geely  CX-5  Negotiable,1058474.86,126517.6,602
Toyota  City  Negotiable,1102278.04,122454.4,602
MG  City  Negotiable,1078000.04,126334.1,602
Ford  Navara  Certified,1071033.93,126427.8,601
Geely  Almera  Negotiable,1077204.25,122509.4,601
Toyota  Accent  Negotiable,1066981.2,122995.8,601
Toyota  Almera  Negotiable,1023234.64,118512.9,601
Suzuki  Innova  Negotiable,1056189.08,124419.7,601
Geely  Sportage  Negotiable,1129169.7,126633.7,600
Mazda  Xpander  Negotiable,1028548.05,126492.6,600
Foton  Vios  Certified,1065190.12,125702.6,600
Kia  D-Max  Negotiable,1071569.36,125136.9,600
Kia  MU-X  Negotiable,1092090.05,124004.0,600
Geely  Montero  Sport  Negotiable,1065630.6,128842.7,599
Chevrolet  MU-X  Negotiable,1075799.48,127955.6,598
Foton  Fortuner  Certified,1083802.92,124184.1,598
Geely  Xpander  Certified,1048219.95,123657.7,598
Kia  Montero  Sport  Negotiable,1063376.37,125898.6,598
Geely  Innova  Negotiable,1072998.21,124916.9,598
Toyota  Tucson  Negotiable,1029932.93,132820.9,598
Nissan  Vios  Negotiable,1058755.87,119945.6,598
Toyota  Innova  Negotiable,1080569.06,121305.8,598
Honda  Civic  Negotiable,1097797.44,125990.9,597
Suzuki  Wigo  Negotiable,1104359.84,129235.6,597
Suzuki  Montero  Sport  Negotiable,1062201.74,122886.4,597
Honda  Ranger  Negotiable,1070664.47,130432.5,597
Honda  Xpander  Negotiable,1079329.63,127466.7,597
Honda  Vios  Negotiable,1061201.18,122204.1,597
Foton  D-Max  Negotiable,1059652.49,127150.6,597
Kia  Xpander  Certified,1090714.36,118349.9,597
Mazda  D-Max  Negotiable,1049607.87,126194.1,596
MG  Civic  Negotiable,1081891.36,126161.7,596
Mitsubishi  Picanto  Negotiable,1073649.16,122981.4,596
Foton  Ertiga  Negotiable,1045000.47,130307.6,596
Mitsubishi  Ranger  Negotiable,1033092.4,120001.7,595
Isuzu  City  Negotiable,1102257.01,117775.6,595
Honda  Picanto  Negotiable,1071632.96,119480.7,595
Geely  Accent  Negotiable,1116532.73,125482.8,595
Suzuki  Fortuner  Negotiable,1020504.43,124597.5,595
Foton  CX-5  Negotiable,1047922.1,128007.7,595
Mazda  Ranger  Negotiable,1056676.41,123415.7,595
Suzuki  Vios  Negotiable,1086154.95,123288.2,595
Mitsubishi  BR-V  Certified,1042920.26,123864.4,594
Mazda  City  Negotiable,1073550.36,129013.6,593
Kia  HR-V  Negotiable,1045205.07,123946.9,593
Chevrolet  Wigo  Negotiable,1078859.55,125503.3,593
Chevrolet  Picanto  Negotiable,1058232.98,126607.4,593
Kia  EcoSport  Negotiable,1101191.81,119646.9,593
Isuzu  Innova  Negotiable,1044207.08,120989.8,593
Honda  Ertiga  Negotiable,1093192.46,123309.2,592
Toyota  Sportage  Negotiable,1062806.08,128913.2,592
Mazda  HR-V  Negotiable,1038084.75,124362.0,592
Geely  Ranger  Negotiable,1074665.47,122675.6,592
Suzuki  Navara  Negotiable,1089921.7,129801.8,592
Suzuki  CX-5  Negotiable,1066272.83,120979.1,592
Kia  City  Negotiable,1101961.57,126802.7,592
Geely  Picanto  Negotiable,1056821.31,123203.6,592
Hyundai  Wigo  Negotiable,1085073.58,124891.4,591
Foton  Almera  Negotiable,1073368.58,128147.7,591
Mitsubishi  CX-5  Negotiable,1064900.24,127178.0,591
MG  Ranger  Negotiable,1028480.78,129816.5,591
Geely  BR-V  Negotiable,1080303.65,122848.3,589
Kia  Accent  Negotiable,1079116.73,122982.6,588
Nissan  Montero  Sport  Negotiable,1042936.23,124771.4,588
Foton  CR-V  Negotiable,1085114.19,122469.3,588
Toyota  Vios  Negotiable,1035880.92,126497.7,588
Nissan  Xpander  Negotiable,1062668.95,122621.1,588
Ford  Fortuner  Negotiable,1072156.92,127563.7,587
Suzuki  Almera  Negotiable,1058434.52,124729.0,587
Mitsubishi  MU-X  Certified,1071032.15,124396.4,587
MG  CX-5  Negotiable,1080776.04,123902.7,587
Hyundai  City  Negotiable,1034457.4,121807.7,586
Honda  EcoSport  Negotiable,1052270.47,126627.8,586
Nissan  MU-X  Negotiable,1064051.34,121464.2,586
Ford  Picanto  Negotiable,1082042.06,128510.2,586
Foton  Accent  Certified,1071003.25,130581.8,586
Toyota  Montero  Sport  Negotiable,1061862.48,127040.7,585
Isuzu  D-Max  Negotiable,1076322.17,125820.0,585
Nissan  Fortuner  Negotiable,1079003.45,124715.6,585
Nissan  Ranger  Certified,1038434.7,129134.6,585
Foton  Navara  Negotiable,1080613.5,125710.7,585
Mazda  Ertiga  Negotiable,1098601.68,127289.3,585
MG  Innova  Negotiable,1088875.41,120662.7,584
Honda  Innova  Negotiable,1086461.07,120455.9,584
Suzuki  CR-V  Negotiable,1064133.56,125508.8,584
Ford  Civic  Negotiable,1034560.97,127202.2,583
Mazda  Almera  Negotiable,1073853.81,126246.1,583
Kia  CR-V  Negotiable,1046355.93,124215.1,583
Foton  Tucson  Negotiable,1054117.29,123566.1,583
Chevrolet  Xpander  Negotiable,1092164.24,118993.8,583
Nissan  Accent  Negotiable,1072198.23,125786.2,582
Isuzu  Civic  Negotiable,1065655.2,122597.9,582
Mitsubishi  Sportage  Negotiable,1080228.04,122037.9,582
Mitsubishi  Civic  Negotiable,1085867.45,122847.5,581
Kia  Ertiga  Negotiable,1062569.88,125503.7,580
Nissan  Ertiga  Negotiable,1073544.24,127248.5,579
Chevrolet  Ranger  Negotiable,1072163.72,123505.7,579
Chevrolet  City  Negotiable,1056312.86,126377.7,578
MG  Navara  Negotiable,1052432.62,124527.5,577
Ford  CX-5  Negotiable,1063413.94,123358.8,576
Foton  Xpander  Negotiable,1079378.99,119099.2,576
Chevrolet  Innova  Negotiable,1046575.85,128654.3,575
Foton  Ranger  Negotiable,1081541.7,125196.5,575
Foton  Mirage  Certified,1078922.12,129026.9,574
Isuzu  Vios  Negotiable,1071119.44,124685.0,574
MG  Sportage  Negotiable,1067843.84,125287.7,574
Honda  Mirage  Negotiable,1070797.92,122085.3,574
Mazda  Civic  Negotiable,1113106.01,125844.8,574
Mazda  CR-V  Negotiable,1083677.9,126078.2,573
Toyota  Ranger  Negotiable,1079055.88,124870.1,572
Geely  CR-V  Negotiable,1063772.1,122572.3,572
Chevrolet  Ertiga  Negotiable,1078563.73,123489.7,572
isuzu hr-v negotiable,1047643.11,126096.8,572
Hyundai  Navara  Negotiable,1080488.39,122605.9,569
Honda  Tucson  Negotiable,1053879.6,128325.1,568
Geely  Fortuner  Negotiable,1068215.14,126602.6,568
MG  Almera  Negotiable,1114183.72,121339.9,567
Isuzu MU-X Negotiable,1057097.05,122681.4,567
Nissan  D-Max  Negotiable,1062955.98,129881.1,566
Foton  EcoSport  Negotiable,1049677.67,120528.7,565
Isuzu  Ranger  Negotiable,1054738.8,123012.3,565
Honda  Accent  Negotiable,1048471.63,130164.1,565
Chevrolet  Civic  Negotiable,1031415.69,123520.7,564
Mitsubishi  Xpander  Negotiable,1041548.57,123498.5,563
Ford  HR-V  Negotiable,1082135.72,122241.6,563
Foton  BR-V  Negotiable,1078902.96,124223.3,563
Mitsubishi  City  Negotiable,1089308.95,125674.0,562
Foton  Innova  Negotiable,1048955.59,127587.6,561
MG  Picanto  Negotiable,1075148.11,131433.4,561
Hyundai  Montero  Sport  Negotiable,1077968.79,121705.8,560
MG  Fortuner  Negotiable,1046089.38,126738.8,558
Chevrolet  D-Max  Negotiable,1107649.03,125479.4,557
Honda  City  Negotiable,1076815.91,127200.6,556
Suzuki  Civic  Negotiable,1092606.26,119202.3,552
Kia  Fortuner  Negotiable,1073000.58,126024.9,551
Hyundai  CX-5  Negotiable,1061042.9,125614.1,535
ISUZU MIRAGE XLE NEGOTIABLE,1029701.37,132352.3,81
NISSAN INNOVA MT NEGOTIABLE,977915.19,125455.9,80
geely wigo le negotiable,1063198.31,128440.8,79
Nissan  Sportage  Sport  Negotiable,1095624.51,129517.2,78
Hyundai  Civic  MT  Negotiable,1177975.78,128254.9,77
geely hr-v vgt certified,1009510.25,131507.8,77
Honda  EcoSport  MT  Certified,1042838.46,110294.5,77
TOYOTA D-MAX XLE NEGOTIABLE,1081017.96,126774.6,76
Geely  Sportage  AT  Negotiable,1073567.76,132819.9,76
Geely  HR-V  LE  Negotiable,1140821.11,120457.6,76
Suzuki  City  VGT  Negotiable,934383.55,129625.6,76
Foton  Ertiga  GXL  Certified,939175.47,129450.4,76
Kia  Ertiga  VGT  Negotiable,1022931.07,126245.5,75
SUZUKI ERTIGA GXL NEGOTIABLE,1153900.19,101639.1,75
Ford  MU-X  GL  Preowned,1133509.27,132899.8,75
Mitsubishi  Picanto  LE  Certified,1092947.0,114340.9,75
Mitsubishi  Vios  GXL  Certified,1150923.83,134728.3,74
HONDA PICANTO VGT NEGOTIABLE,1172770.06,150889.4,74
Isuzu  Accent  VGT  Negotiable,1170622.91,128644.6,74
Hyundai  D-Max  AT  Preowned,1022359.58,112473.5,74
MG  D-Max  Sport  Certified,1123072.57,150902.5,74
Kia  Vios  VGT  Negotiable,1045085.46,123921.1,74
geely picanto gxl certified,1132446.4,130050.4,74
Toyota Ertiga VGT Negotiable,1093866.2,135867.2,74
ISUZU BR-V GXL NEGOTIABLE,1003047.42,120946.2,74
Chevrolet  Navara  Sport  Preowned,1119614.34,124974.8,74
Foton  Wigo  XLE  Certified,1025338.91,123846.9,74
Geely  Ranger  GL  Negotiable,975871.68,113871.3,74
Chevrolet  Accent  LE  Negotiable,1085083.96,133723.5,73
Hyundai  CR-V  GL  Certified,1023041.79,128390.0,73
nissan ertiga le negotiable,1031877.41,137009.0,73
Mazda  EcoSport  MT  Certified,1109815.05,146634.7,73
Kia  CX-5  AT  Negotiable,1033793.65,120177.7,73
mitsubishi ertiga glx negotiable,1142878.33,114582.0,73
Geely  BR-V  VGT  Negotiable,1055171.05,129047.4,73
HONDA CR-V GLX NEGOTIABLE,1066103.32,116798.3,73
GEELY MIRAGE GL NEGOTIABLE,1063598.9,117169.2,73
Mazda  Civic  MT  Preowned,1059841.93,124662.1,72
Toyota  CR-V  GXL  Preowned,1074566.93,117019.1,72
Isuzu Almera Sport Negotiable,929422.42,110108.7,72
Isuzu  Montero  Sport  GXL  Certified,1081110.97,125564.3,72
Suzuki  CR-V  LE  Negotiable,1025526.03,121903.1,72
geely cr-v glx negotiable,1037704.6,119402.6,72
Chevrolet  Fortuner  Sport  Certified,1027786.28,118923.2,72
suzuki hr-v le negotiable,978860.24,119338.4,72
Toyota  Tucson  MT  Negotiable,1027606.29,126649.6,72
Chevrolet  Vios  MT  Preowned,1181846.98,119633.9,71
Geely D-Max XLE Negotiable,1091001.66,123099.2,71
Honda City GLX Negotiable,1095420.29,120121.9,71
Suzuki  Wigo  XLE  Certified,1069532.36,131401.6,71
Mazda  Mirage  XLE  Preowned,914861.2,116620.8,71
MG  BR-V  GXL  Certified,1037819.61,121561.4,71
Chevrolet MU-X VGT Negotiable,1092994.58,117618.3,71
FOTON BR-V VGT NEGOTIABLE,1051292.38,114554.4,71
chevrolet xpander vgt negotiable,1242280.36,118793.4,71
Foton  Tucson  GL  Certified,1064883.93,127113.7,71
Foton  Ranger  GL  Negotiable,1070273.05,121867.5,71
Foton  Tucson  MT  Preowned,1043203.79,135031.4,71
KIA CX-5 SPORT NEGOTIABLE,1032407.54,124794.1,71
Mitsubishi  Vios  MT  Certified,1006448.8,125842.0,71
Isuzu  Picanto  GLX  Preowned,1102365.93,128394.7,71
Ford  Navara  VGT  Certified,1087100.01,125273.6,70
Hyundai  Ranger  XLE  Negotiable,1063626.35,102866.7,70
Mitsubishi  Innova  GLX  Preowned,1062752.91,134209.0,70
SUZUKI INNOVA GLX NEGOTIABLE,1126987.26,120474.1,70
FORD NAVARA XLE NEGOTIABLE,1056549.58,119600.5,70
mazda accent sport negotiable,918902.27,127693.5,70
toyota picanto gl negotiable,1088783.34,115512.7,70
foton mirage mt negotiable,1059978.77,119386.1,70
Ford  EcoSport  GXL  Negotiable,1128038.2,118572.3,70
Kia  CR-V  LE  Negotiable,1079360.85,137390.0,70
Isuzu  Vios  GLX  Certified,1039049.4,132064.4,70
Mazda Montero Sport LE Certified,1046422.27,126454.5,70
Hyundai  Montero  Sport  VGT  Certified,989756.08,118706.8,70
isuzu ertiga le negotiable,1115249.0,119348.7,70
suzuki br-v at negotiable,1108318.27,123858.4,70
isuzu montero sport sport negotiable,1041020.48,116236.4,70
Mitsubishi  Fortuner  GXL  Negotiable,1046247.8,140282.2,70
Toyota  CX-5  AT  Negotiable,1041666.69,134922.4,70
KIA CR-V GXL NEGOTIABLE,1075296.45,134227.3,70
Nissan City AT Negotiable,1099042.82,121511.8,70
Honda Xpander GL Negotiable,1049450.59,137122.3,70
Honda EcoSport Sport Negotiable,1079335.92,145336.7,70
GEELY RANGER XLE NEGOTIABLE,1069696.36,117890.5,70
Chevrolet Innova GL Negotiable,1138839.58,106393.9,70
Ford  D-Max  XLE  Negotiable,1097348.55,129110.9,70
Toyota  Ranger  GL  Preowned,1007101.71,115873.4,69
suzuki city le negotiable,1160645.68,127253.0,69
Toyota  BR-V  GXL  Preowned,1178806.45,113325.8,69
chevrolet tucson xle negotiable,1031199.96,121520.8,69
nissan br-v at negotiable,1080338.93,131503.6,69
Mazda CR-V VGT Certified,1068391.56,125113.4,69
Isuzu  Wigo  XLE  Negotiable,1078178.31,134265.3,69
Nissan  Montero  Sport  GLX  Negotiable,1062251.24,130242.1,69
Hyundai  Navara  LE  Negotiable,976768.09,121785.4,69
Kia Montero Sport LE Certified,1027716.99,121449.9,69
hyundai xpander le certified,1087756.5,125156.7,69
Nissan  Accent  MT  Certified,1090910.17,133495.5,69
Honda  Accent  VGT  Preowned,1122883.47,124060.0,69
Kia Sportage MT Negotiable,1096354.36,120844.7,69
FOTON XPANDER SPORT NEGOTIABLE,1070087.41,127534.4,69
Kia  HR-V  GXL  Negotiable,1163362.37,122490.0,69
Geely  Sportage  GLX  Certified,1138018.28,118110.5,69
Honda  D-Max  GL  Negotiable,1045965.17,112633.3,69
Geely  CR-V  XLE  Preowned,1041781.99,139289.3,69
Mitsubishi  Accent  GXL  Negotiable,1112785.57,127615.5,69
Nissan  HR-V  XLE  Certified,1040039.35,121571.7,69
SUZUKI WIGO MT NEGOTIABLE,1083588.19,117870.9,69
Geely HR-V GL Negotiable,1053285.88,132864.9,69
ford fortuner gxl negotiable,1109293.06,137532.7,69
Honda  BR-V  LE  Negotiable,1008234.03,102991.7,69
Geely  Innova  MT  Negotiable,1096482.29,131441.4,69
Isuzu  City  MT  Negotiable,1121432.5,120938.3,69
Foton  EcoSport  Sport  Certified,1003292.88,129878.4,69
NISSAN WIGO LE NEGOTIABLE,1119961.4,126278.3,69
Honda Navara GXL Negotiable,1098824.85,119615.3,69
Foton  Ertiga  AT  Certified,1007125.04,130175.0,69
CHEVROLET HR-V GL NEGOTIABLE,1075102.44,117675.8,69
Ford  Montero  Sport  AT  Preowned,1021571.53,126291.6,69
Mitsubishi  MU-X  GL  Negotiable,909946.63,125850.2,69
Ford  Mirage  GXL  Negotiable,1074137.18,138332.0,69
Honda Picanto GL Negotiable,1080913.77,131530.1,69
foton mirage at negotiable,998077.93,118203.7,69
mitsubishi tucson xle negotiable,1085222.23,115345.3,69
HYUNDAI ACCENT GLX NEGOTIABLE,1187093.51,116827.1,68
Hyundai  Mirage  GLX  Certified,1033150.01,115441.9,68
toyota cr-v mt negotiable,869632.41,119690.1,68
Geely  D-Max  MT  Preowned,1097063.98,128686.8,68
Geely  BR-V  XLE  Negotiable,1081149.82,128046.2,68
Honda Civic GL Negotiable,1106314.89,108803.7,68
Chevrolet  BR-V  GLX  Certified,1023867.92,115282.3,68
Hyundai  Tucson  XLE  Preowned,1069651.0,130590.5,68
MG  Wigo  GLX  Negotiable,1084946.94,137071.3,68
Suzuki  CX-5  GXL  Negotiable,1110505.11,123457.0,68
MAZDA INNOVA AT NEGOTIABLE,1063511.31,118279.4,68
MG  HR-V  Sport  Negotiable,1028691.89,132612.7,68
Suzuki  Navara  GL  Preowned,1114233.45,142303.3,68
Nissan  Accent  VGT  Certified,1058006.95,135595.5,68
Ford  MU-X  XLE  Preowned,1125718.56,125219.7,68
