Listing_ID,Car_Title,Price_Raw,Source_Platform,Date_Scraped,Mileage_Raw
39,Toyota CRV AT,1831734.69,Local Dealer,2024-03-20,86971 kms
40,Mazda D-Max GXL,132415803,AutoDeal,2024-03-25,244220 km
41,toyota navara,201638.86,OLX,2024-03-01,48183 km
42,MITSUBISHI ALMERA GL,1964359.59,Carmudi,2024-03-15,
43,toyota vios,"960767,71",Toyota Certified Pre-Owned,2024-03-01,52907 km
44,nissan xpander xle,964291.43,SM Auto,2024-03-16,222876km
45,nissan wigo,1721791.37,SM Auto,2024-03-11,208740 km
46,TOYOTA INNOVA MT,854729.57 php,Facebook Marketplace,2024-03-26,210219 km
47,toyota d-max nego,$395536.70,SM Auto,2024-03-18,120076km
48,Nissan Almera GL,"328810,44",Facebook Marketplace,2024-03-11,60834 km
49,Mazda  CX-5  AT,1144276.61,Carmudi,2024-03-24,"107,913 KM"
50,Suzuki Wigo URGENT,1772774.75,OLX,2024-03-18,229011 km
51,mg montero sport gxl,1975291.87,Toyota Certified Pre-Owned,2024-03-05,151718 km
52,hyundai almera,172512998,Honda Cars Pre-Owned,2024-03-12,82638 km
53,Isuzu Navara GLX,154003.77,Facebook Marketplace,2024-03-18,111536 km
54,toyota wigo sport,1855910.66,Toyota Certified Pre-Owned,2024-03-05,222556 km
55,Nissan Vios,531559.58,Local Dealer,2024-03-19,15358 km
56,GEELY HR-V AT CERTIFIED,955169.07 php,AutoDeal,2024-03-05,48841 km
57,honda hr-v,560567.64 php,Honda Cars Pre-Owned,2024-03-24,"106,109 KM"
58,Isuzu CR-V XLE Negotiable,591955.48,SM Auto,2024-03-10,"218,067 KM"
59,Nisan Fortuner GL,793647.64,Facebook Marketplace,2024-03-13,79960 kms
60,Geely Ranger,1398350.90,Toyota Certified Pre-Owned,2024-03-15,96193 km
61,toyota mirage sport,1243488.44 php,SM Auto,2024-03-19,45174 km
62,mg cx-5 gl,1716357.09,AutoDeal,2024-03-08,"56,355 KM"
63,Chevrolet Civic,1174759.56,AutoDeal,2024-03-06,151962 km
64,Ford Picanto URGENT,589688.88 php,Honda Cars Pre-Owned,2024-03-06,114609 kms
65,Foton  City,"924139,40",AutoDeal,2024-03-09,239710 km
66,Foton BR-V,415520.57,Facebook Marketplace,2024-03-20,54787km
67,NISSAN NAVARA,$167971.95,AutoDeal,2024-03-05,
68,nissan vios gxl,219573.79,Honda Cars Pre-Owned,2024-03-16,214375 km
69,suzuki accent,467850.73 php,AutoDeal,2024-03-12,229048 km
70,Mazda Civic,1859928.66,AutoDeal,2024-03-28,202020 km
71,HYUNDAI SPORTAGE XLE,1285972.69,SM Auto,2024-03-27,
72,Geely Picanto GXL,92008880,Toyota Certified Pre-Owned,2024-03-18,82794 km
73,Foton Vios,"814333,88",AutoDeal,2024-03-21,211765 km
74,MG City VGT,491519.71,Carmudi,2024-03-06,182378 km
75,Geely Tucson,734492.84,Carmudi,2024-03-12,40413 km
76,TOYOTA CITY,156208.83,Toyota Certified Pre-Owned,2024-03-12,234830 km
77,Isuzu Wigo AT,0,Carmudi,2024-03-19,183474 km
78,MG FORTUNER RUSH,1214643.22,Honda Cars Pre-Owned,2024-03-15,42750 km
79,Isuzu Tucson NEGO,1523043.16,Toyota Certified Pre-Owned,2024-03-16,"140,619 KM"
80,suzuki picanto certified,1275451.21,Carmudi,2024-03-16,66738 km
81,Honda Montero Sport,1676355.06,Facebook Marketplace,2024-03-02,7348km
82,Ford HR-V XLE,561757.51 php,SM Auto,2024-03-23,101072 km
83,geely almera le,1005598.22,OLX,2024-03-26,61666 km
84,Ford HR-V,777203.78,Carmudi,2024-03-23,150284 km
85,KIA RANGER MT CERTIFIED,926034.01,Toyota Certified Pre-Owned,2024-03-10,8169 km
86,mg innova at rush,1632813.17,Carmudi,2024-03-15,11860 km
87,kia cr-v vgt,170629.23 php,OLX,2024-03-16,237048 km
88,TOYOTA SPORTAGE VGT,0,Honda Cars Pre-Owned,2024-03-04,143219 km
89,GEELY PICANTO AT RUSH,745274.11,AutoDeal,2024-03-04,139954 km
90,honda mu-x vgt nego,,SM Auto,2024-03-14,194441 km
91,foton innova at urgent,,Facebook Marketplace,2024-03-01,199056 km
92,Hyundai BR-V XLE,566684.01,Carmudi,2024-03-25,108551 kms
93,Mitsubishi HR-V AT,911879.70 php,Local Dealer,2024-03-09,"77,975 KM"
94,Kia Vios,1375019.14,SM Auto,2024-03-16,65341 km
95,GEELY MU-X,$1648718.78,OLX,2024-03-23,89582 kms
96,ISUZU HR-V,,Carmudi,2024-03-20,75926 kms
97,isuzu montero sport,$1769828.71,AutoDeal,2024-03-21,
98,TOYOTA HR-V,287855.80,Local Dealer,2024-03-10,188817 km
99,Honda City AT RUSH,347605.66,Local Dealer,2024-03-06,239625 km
100,mazda picanto,$1496333.63,Honda Cars Pre-Owned,2024-03-10,23956 km
101,HondaCR-V URGENT,1944083.70,Carmudi,2024-03-06,148069 km
102,SUZUKI ERTIGA GLX,1585818.91,Facebook Marketplace,2024-03-07,27979 km
103,suzuki ecosport,1155865.16,AutoDeal,2024-03-06,201202 km
104,ISUZU MIRAGE,194066.10 php,Honda Cars Pre-Owned,2024-03-22,169357km
105,HONDA RANGER LE,1877248.92,Carmudi,2024-03-03,26519 km
106,FOTON CR-V,1796923.64,AutoDeal,2024-03-19,212648 km
107,Mazda Mirage,$818075.99,Facebook Marketplace,2024-03-20,66941 km
108,Honda BR-V GXL,541995.45,OLX,2024-03-17,176527 kms
109,G Mirage GL,635289.80,Carmudi,2024-03-01,
110,hyundai cx-5 nego,150318.78 php,OLX,2024-03-04,
111,NISSAN ECOSPORT AT URGENT,391420.64,Local Dealer,2024-03-05,155815 km
112,Foton HR-V,837274.27,Carmudi,2024-03-11,"69,200 KM"
113,Nissan HR-V GT,"1311235,12",Carmudi,2024-03-12,130426 km
114,ChevroletEcoSport,1202586.62,Honda Cars Pre-Owned,2024-03-26,80287 km
115,kia innova xle,"1612031,68",SM Auto,2024-03-08,"230,014 KM"
116,Suzuki Naara MT,"1653937,42",OLX,2024-03-24,26208 km
117,SUZUKI RANGER VGT,323969.87,OLX,2024-03-14,217314 km
118,mitsubishi innova,1732333.76,Toyota Certified Pre-Owned,2024-03-21,204688 km
119,Chevrolet HR-V GL,197421.45,Honda Cars Pre-Owned,2024-03-22,20827 km
120,Nissan Wigo,275171.80,SM Auto,2024-03-11,185216 kms
121,mitsubishi br-v,896693.35,Toyota Certified Pre-Owned,2024-03-06,185451 kms
122,mazda hr-v mt,$1673302.83,Carmudi,2024-03-16,89556 km
123,kia innova nego,1693454.98,Carmudi,2024-03-05,6326 kms
124,Suzuki Picanto,1576959.66,Toyota Certified Pre-Owned,2024-03-07,89992 km
125,Mazda EcoSport Sport,493809.51,Local Dealer,2024-03-02,184597 km
126,TOYOTA HR-V MT NEGOTIABLE,342922.35,Carmudi,2024-03-03,74511 km
127,ISUZU ECOSPORT RUSH,1327721.25,Local Dealer,2024-03-05,227708 km
128,Kia HR-V GLX,$1689709.32,Toyota Certified Pre-Owned,2024-03-22,134125 km
129,Honda Mirage,$1264614.47,Carmudi,2024-03-08,"143,620 KM"
130,suzuki accent sport,913309.66,OLX,2024-03-15,75523 km
131,nissan mu-x gl,684803.64,Toyota Certified Pre-Owned,2024-03-17,103778 km
132,MG FORTUNER GXL,842257.37,Local Dealer,2024-03-13,
133,Kia Almera,1364923.54,Toyota Certified Pre-Owned,2024-03-04,
134,Mazda Civic,$1004544.10,Facebook Marketplace,2024-03-27,
135,MG INNOVA GLX,1638325.07,SM Auto,2024-03-26,102832 km
136,TOYOTA MONTERO SPORT XLE,441387.57,AutoDeal,2024-03-12,242870 kms
137,Mitsubishi Navara GXL,1884853.61,Facebook Marketplace,2024-03-10,41003km
138,geely picanto,1260632.92,Toyota Certified Pre-Owned,2024-03-13,162822km
139,Nissan  Navara  VGT,$1322320.35,Local Dealer,2024-03-05,47561 km
140,Nissan Accent,738644.19,OLX,2024-03-20,115695 km
141,nissan d-max nego,,OLX,2024-03-03,31434 km
142,Toyota Ertiga,,OLX,2024-03-09,112708 km
143,chevrolet ranger sport nego,1609182.03,Honda Cars Pre-Owned,2024-03-25,12799 kms
144,mazda innova sport,663561.40 php,Facebook Marketplace,2024-03-05,
145,kia innova le urgent,0,OLX,2024-03-09,
146,Isuzu Etiga MT,"267078,79",Honda Cars Pre-Owned,2024-03-04,242365 km
147,HONDA TUCSON PREOWNED,741451.26,Facebook Marketplace,2024-03-19,31237 kms
148,honda almera glx,1077219.20,Honda Cars Pre-Owned,2024-03-01,221339 km
149,Kia Tucson,,SM Auto,2024-03-15,190113 km
150,Nissan Ertiga,1998859.66,OLX,2024-03-10,91070 km
151,chevrolet picanto,271840.03,AutoDeal,2024-03-16,158868km
152,ford ranger glx certified,1826931.81,OLX,2024-03-12,7768 km
153,TOYOTA ACCENT VGT,1864271.68,Honda Cars Pre-Owned,2024-03-06,155166 km
154,mitsubishi br-v,0,Carmudi,2024-03-02,158508 km
155,chevrolet navara le,1150496.29,Toyota Certified Pre-Owned,2024-03-10,
156,nissan cr-v gl,52641669,Carmudi,2024-03-24,216567 kms
157,Nissan  CX-5,488053.69,AutoDeal,2024-03-15,"28,240 KM"
158,suzuki mirage sport,0,OLX,2024-03-21,21323 kms
159,honda civic,1756126.13,Facebook Marketplace,2024-03-11,"126,966 KM"
160,nissan almera glx,1945403.50,Facebook Marketplace,2024-03-18,121963 kms
161,Chevrolet BR-V GL,414070.70,Carmudi,2024-03-17,182613 km
162,HONDA MIRAGE,962860.15,Toyota Certified Pre-Owned,2024-03-05,81108 km
163,Mazda  Almera  AT  URGENT,"216086,74",AutoDeal,2024-03-16,141924 km
164,Isuzu irage,1041488.16,Honda Cars Pre-Owned,2024-03-11,101030 km
165,Kia CX-5 Negotiable,0,Facebook Marketplace,2024-03-13,166636 km
166,SUZUKI VIOS,1647123.84,SM Auto,2024-03-19,
167,Foton Civic LE,"1802632,36",Honda Cars Pre-Owned,2024-03-06,154163 km
168,Foton  Fortuner  GLX,1108903.73 php,OLX,2024-03-15,107464km
169,mg ertiga gl,1467779.22,Honda Cars Pre-Owned,2024-03-01,54745 km
170,Mitsubishi Innova VGT Certified,151077.09 php,SM Auto,2024-03-10,130702km
171,Kia Civic VGT Neg,146275212,AutoDeal,2024-03-05,"43,172 KM"
172,geely fortuner at,,Local Dealer,2024-03-10,"248,964 KM"
173,MAZDA TUCSON,1973237.38 php,Honda Cars Pre-Owned,2024-03-15,96908 km
174,mg br-v rush,"424507,03",Honda Cars Pre-Owned,2024-03-12,103598 km
175,mg ertiga urgent,334407.00,SM Auto,2024-03-04,86170 km
176,Kia Tucson NEGO,513483.86 php,Facebook Marketplace,2024-03-28,51679 km
177,mitsubishi d-max,,SM Auto,2024-03-12,
178,Suzuki CX-5,251218.76 php,SM Auto,2024-03-06,"30,149 KM"
179,Isuzu Montero Sort,1924346.86,SM Auto,2024-03-19,
180,Nissan Xpander AT,$1882526.64,SM Auto,2024-03-19,195208 km
181,Mitsubishi Fortuner GL,890078.89,Carmudi,2024-03-14,230625km
182,honda navara glx rush,841442.34,SM Auto,2024-03-28,249548 km
183,Hyundai Vios Sport,"1741446,17",SM Auto,2024-03-23,"55,309 KM"
184,Ford City XLE URGENT,"1483537,69",Toyota Certified Pre-Owned,2024-03-25,148725 km
185,KIA ALMERA URGENT,"643796,44",SM Auto,2024-03-10,104325 km
186,ford mu-x gxl,1156442.87,AutoDeal,2024-03-18,91352 km
187,Honda Mirage,1854594.88,Honda Cars Pre-Owned,2024-03-13,"11,109 KM"
188,Nissan  EcoSport  Certified,1814783.52,AutoDeal,2024-03-19,179559 km
189,mazda cr-v,109438506,Carmudi,2024-03-26,"171,841 KM"
190,MITSUBISHI CR-V PREOWNED,1283027.36,Facebook Marketplace,2024-03-04,27161 km
191,Ford  D-Max  VGT,1429589.53,SM Auto,2024-03-15,"127,489 KM"
192,suzuki picanto vgt,$402183.84,Facebook Marketplace,2024-03-20,17201 km
193,mg almera sport,1585938.66,Facebook Marketplace,2024-03-21,67309 km
194,Nissan Wigo XLE,973529.13 php,AutoDeal,2024-03-11,
195,suzuki montero sport le,$794676.77,Toyota Certified Pre-Owned,2024-03-15,84072 km
196,Suzuki  City,$1473264.58,Toyota Certified Pre-Owned,2024-03-11,194169km
197,Geel D-Max GL,1366371.92 php,AutoDeal,2024-03-24,19505 kms
198,Ki Sportage GL,,SM Auto,2024-03-16,"108,484 KM"
199,Mitubishi Accent,1848938.95,SM Auto,2024-03-05,175236 km
200,nissan picanto,741676.23,Carmudi,2024-03-28,"113,844 KM"
201,suzuki civic,1236887.67,Honda Cars Pre-Owned,2024-03-18,196392 km
202,mazda cr-v,"760499,54",Toyota Certified Pre-Owned,2024-03-27,152986 km
203,Suzuki Xander VGT Negotiable,551858.72,Facebook Marketplace,2024-03-04,149460km
204,SUZUKI SPORTAGE,"643432,72",OLX,2024-03-01,92809 km
205,Toyota  Innova,854685.97,Carmudi,2024-03-07,13751 km
206,chevrolet picanto xle,701712.42,OLX,2024-03-10,131764 km
207,Suzuki Vios XL,304088.86,AutoDeal,2024-03-16,
208,MG Spotage Nego,$271314.96,Carmudi,2024-03-21,"80,838 KM"
209,FORD HR-V LE PREOWNED,99384578,OLX,2024-03-26,139414 kms
210,HYUNDAI PICANTO MT,1684437.16,Facebook Marketplace,2024-03-23,185324 km
211,Geely  Civic  Certified,888668.71,OLX,2024-03-22,175872 km
212,KIA SPORTAGE RUSH,1185357.34,Facebook Marketplace,2024-03-05,86537km
213,mg picanto mt,$695910.49,Facebook Marketplace,2024-03-13,62654 km
214,Honda Montero Sport XLE,721115.18,Local Dealer,2024-03-19,"198,099 KM"
215,mitsubishi ranger gl negotiable,1292469.29,Carmudi,2024-03-11,"142,001 KM"
216,Nissan Picanto,1744914.91,SM Auto,2024-03-20,98668km
217,ford almera sport,$651440.04,Facebook Marketplace,2024-03-20,"186,207 KM"
218,CHEVROLET ERTIGA GLX,1632123.69,Facebook Marketplace,2024-03-08,233947 km
219,HYUNDAI MIRAGE,1503623.43 php,SM Auto,2024-03-09,93475 km
220,FOTON MU-X,1994409.38,OLX,2024-03-09,13968 km
221,Toyota EcoSport Sport,738515.56,SM Auto,2024-03-11,24654 kms
222,Suzuki  Ranger  GLX  Negotiable,246750.49,OLX,2024-03-17,
223,ISUZU BR-V,0,OLX,2024-03-19,"32,663 KM"
224,MG Wigo Neo,1259562.30,Toyota Certified Pre-Owned,2024-03-04,"12,715 KM"
225,FOTON CX-5,1153685.11,Honda Cars Pre-Owned,2024-03-10,240132 km
226,kia xpander,$1805951.53,AutoDeal,2024-03-06,123941 km
227,HONDA ALMERA,355373.33,AutoDeal,2024-03-17,91684 km
228,MG Accet,1402059.19,Local Dealer,2024-03-03,84905 km
229,mitsubishi civic,444726.45 php,SM Auto,2024-03-14,20746 km
230,geely d-max,1864404.31,Local Dealer,2024-03-20,181666 km
231,TOYOTA XPANDER,540329.55 php,Carmudi,2024-03-06,243077 km
232,HYUNDAI CX-5 VGT,$463667.51,OLX,2024-03-11,16884 km
233,Hyundai BR-V Sport,1216871.27,AutoDeal,2024-03-07,138243 km
234,Toyota Fortuner VGT,170444.84,Honda Cars Pre-Owned,2024-03-19,209823km
235,Isuzu  MU-X,578589.33,Facebook Marketplace,2024-03-08,195769km
236,Suzuki Accent VGT Preowned,1793030.00,Facebook Marketplace,2024-03-27,138456 km
237,FORD CR-V SPORT,776593.28,Facebook Marketplace,2024-03-10,
238,MG CR-V LE NEGO,1517020.05,SM Auto,2024-03-19,212016km
239,Kia Mirage Sport,,Carmudi,2024-03-13,78441 km
240,Toyota Wigo,,Honda Cars Pre-Owned,2024-03-10,"156,718 KM"
241,CHEVROLET MU-X LE PREOWNED,366825.15,Carmudi,2024-03-15,
242,MG  CR-V,286163.75,Local Dealer,2024-03-01,81508 km
243,chevrolet fortuner gxl nego,1198688.65 php,SM Auto,2024-03-23,"161,631 KM"
244,geely d-max sport,"1094605,67",AutoDeal,2024-03-14,
245,GEELY CIVIC,1252461.60,Toyota Certified Pre-Owned,2024-03-22,18321 km
246,nissan city,578686.88,AutoDeal,2024-03-19,23587 kms
247,mitsubishi br-v gl nego,926460.34,Toyota Certified Pre-Owned,2024-03-02,192293 km
248,Honda Mirage VGT,918820.65,Carmudi,2024-03-11,149456 km
249,Toyota HRV GL,865643.53,Honda Cars Pre-Owned,2024-03-02,98946km
250,FORD CITY,731291.44,Toyota Certified Pre-Owned,2024-03-06,47775 km
251,Toyota CX5,$1251850.08,Toyota Certified Pre-Owned,2024-03-18,156431 km
252,mitsubishi innova le,1647695.01,OLX,2024-03-12,
253,Nissan  Vios  MT,526670.88,SM Auto,2024-03-02,183912 km
254,FOTON NAVARA PREOWNED,"1343146,53",Carmudi,2024-03-26,5090km
255,Chevrolet Tucson LX URGENT,1519465.32,Facebook Marketplace,2024-03-01,225704 km
256,Ford  Mirage,734695.17,Local Dealer,2024-03-23,"49,248 KM"
257,GEELY CX-5 MT,$597126.99,Local Dealer,2024-03-05,150174 km
258,MG Range XLE,"1711585,10",OLX,2024-03-08,165148 km
259,nissan xpander preowned,149411457,OLX,2024-03-17,244909 km
260,Honda EcSport,1199269.93,AutoDeal,2024-03-17,6760 kms
261,mazda mirage vgt nego,1173701.10,Facebook Marketplace,2024-03-04,180619 km
262,TOYOTA ECOSPORT,289817.45,Facebook Marketplace,2024-03-13,248385 km
263,mazda city mt negotiable,1857864.78,SM Auto,2024-03-16,172348 km
264,mitsubishi d-max xle,854083.72,Local Dealer,2024-03-06,"99,933 KM"
265,CHEVROLET INNOVA NEGO,1123700.96,OLX,2024-03-15,87062 kms
266,isuzu innova glx,164600590,SM Auto,2024-03-03,166622 km
267,Hyundai Fortuner,884687.14,Local Dealer,2024-03-26,142081 km
268,mitsubishi civic gxl certified,784164.84,Toyota Certified Pre-Owned,2024-03-25,236419 km
269,MG Accent AT,"790646,25",AutoDeal,2024-03-23,97417 km
270,Mitsubishi Montero Sport VGT Certified,475941.91,Carmudi,2024-03-14,146146 km
271,nissan ecosport,"1475254,76",Facebook Marketplace,2024-03-12,100828 km
272,Foton Innva Sport,662347.03,Local Dealer,2024-03-11,142955 km
273,GEELY VIOS,1427732.38,SM Auto,2024-03-16,183048 kms
274,Geely BR-V Certified,647481.03,AutoDeal,2024-03-15,125981 km
275,ford hr-v,676267.94,AutoDeal,2024-03-25,131662 km
276,chevrolet xpander negotiable,$1206287.76,SM Auto,2024-03-21,174065 km
277,Mitsubishi Ertiga NEGO,81882850,Honda Cars Pre-Owned,2024-03-04,198320 km
278,Toyota  Mirage  Sport  NEGO,1686336.30 php,Carmudi,2024-03-23,
279,FORD ALMERA,1906239.70,Local Dealer,2024-03-23,108323 km
280,foton d-max gxl,255092.18,AutoDeal,2024-03-25,
281,mitsubishi city,527964.44,OLX,2024-03-20,207639 km
282,Nissan Xpander Certified,,Carmudi,2024-03-14,227417 km
283,ford ertiga mt,0,Facebook Marketplace,2024-03-15,"174,376 KM"
284,SUZUKI PICANTO SPORT,$715575.88,OLX,2024-03-28,219249 km
285,kia br-v gl,216428.53,Carmudi,2024-03-04,54547 km
286,geely d-max,1587867.07 php,OLX,2024-03-17,209886km
287,Chevrolet Navara Certified,1959942.53,Facebook Marketplace,2024-03-16,229617 km
288,Hyunda CR-V,578778.77 php,Local Dealer,2024-03-06,50045 km
289,Chevrolet Wigo,43657543,Facebook Marketplace,2024-03-16,217643 km
290,FORD PICANTO,$614511.85,Carmudi,2024-03-07,23229 km
291,Nissan Picanto VGT ego,"681512,46",OLX,2024-03-03,
292,MG MU-X,"1751057,03",Carmudi,2024-03-26,80153 km
293,Ford Navara MT,"466067,70",Facebook Marketplace,2024-03-19,173971km
294,Foton Fortuner AT,1577942.78,SM Auto,2024-03-27,136260 km
295,TOYOTA WIGO AT NEGOTIABLE,1646967.86 php,OLX,2024-03-18,247048 km
296,Honda  Navara  URGENT,720904.41,Honda Cars Pre-Owned,2024-03-16,173119 km
297,Kia BR-V AT,"1213774,50",Facebook Marketplace,2024-03-04,179480 km
298,ford hr-v,0,OLX,2024-03-25,31673 km
299,GEELY TUCSON RUSH,1809184.85 php,Honda Cars Pre-Owned,2024-03-17,104954 km
300,Nissan Ertiga Sport RUSH,171542.85,AutoDeal,2024-03-09,142297 km
301,honda xpander xle,1835286.48,OLX,2024-03-09,107686 km
302,ford civic xle,,Local Dealer,2024-03-04,236228 kms
303,Toyota  Civic,1601906.15,OLX,2024-03-26,50131 km
304,MG MU-X AT NEGO,0,Carmudi,2024-03-09,25119 km
305,geely vios mt,896544.14,Toyota Certified Pre-Owned,2024-03-03,235698 km
306,Foton BR-V MT,192886748,SM Auto,2024-03-07,
307,ISUZU CITY GL NEGOTIABLE,1824758.67,OLX,2024-03-09,64347 km
308,MITSUBISHI ACCENT AT,$1128445.26,Facebook Marketplace,2024-03-07,183673 km
309,MG MIRAGE GXL,1492633.28,Local Dealer,2024-03-28,68482 km
310,MAZDA ERTIGA,1187679.11,AutoDeal,2024-03-23,115216km
311,Toyta Almera,$435427.51,Toyota Certified Pre-Owned,2024-03-20,
312,HYUNDAI SPORTAGE GXL,1283121.76 php,OLX,2024-03-05,71299 km
313,Hyundai D-Max LE,555792.40,Local Dealer,2024-03-02,"157,150 KM"
314,MazdaHR-V,0,AutoDeal,2024-03-16,"228,846 KM"
315,Honda Ranger AT,176797.18,Honda Cars Pre-Owned,2024-03-25,"107,274 KM"
316,Honda Almera GXL Negotiable,1181253.27,SM Auto,2024-03-07,"32,740 KM"
317,mazda picanto sport,1313228.84,Honda Cars Pre-Owned,2024-03-03,121031 kms
318,Ford Wigo,"979388,43",Honda Cars Pre-Owned,2024-03-01,
319,Hyundai Fortuner AT,1990877.48,Carmudi,2024-03-27,211129km
320,chevrolet vios nego,1275709.73 php,Facebook Marketplace,2024-03-04,68173 kms
321,Kia MU-X GLX,$966411.40,Honda Cars Pre-Owned,2024-03-05,129439 km
322,Honda  City  GLX,1218809.97,Local Dealer,2024-03-26,171377 km
323,ford cr-v vgt,1606278.75,Facebook Marketplace,2024-03-13,13208 km
324,foton ertiga at,473044.64,Honda Cars Pre-Owned,2024-03-23,196052 km
325,Nissan Ertiga GXL,782593.33,Honda Cars Pre-Owned,2024-03-15,36276 km
326,suzuki mu-x le,888630.04,Honda Cars Pre-Owned,2024-03-03,22051km
327,TOYOTA NAVARA,546757.16,SM Auto,2024-03-13,119946 km
328,Chevrolet Vios LE,777270.35 php,Toyota Certified Pre-Owned,2024-03-01,159213 km
329,kia montero sport,$597620.83,Honda Cars Pre-Owned,2024-03-25,"15,912 KM"
330,nissan hr-v,"446587,47",SM Auto,2024-03-16,102321 km
331,Nissan BR-V GXL,1413930.54,Toyota Certified Pre-Owned,2024-03-03,"45,254 KM"
332,hyundai ecosport xle,1791430.87,OLX,2024-03-09,65501km
333,Mazda MU-X Nego,217620.16,Local Dealer,2024-03-13,"128,786 KM"
334,TOYOTA TUCSON,421800.86,Facebook Marketplace,2024-03-26,29434 km
335,MG  HR-V,"332129,68",Honda Cars Pre-Owned,2024-03-02,93048 km
336,Suzuki  BR-V  XLE,"556226,59",Toyota Certified Pre-Owned,2024-03-02,135901 km
337,Geely Almra Sport,1315640.91,Local Dealer,2024-03-26,14432 km
338,suzuki innova,"769808,88",SM Auto,2024-03-26,112037 kms
339,Hyundai Civic,48262688,SM Auto,2024-03-08,109056 km
340,MAZDA HR-V,,OLX,2024-03-09,
341,Isuzu CR-V,1128454.02,Facebook Marketplace,2024-03-22,1832 kms
342,honda city,1213042.10,Carmudi,2024-03-13,113720 km
343,Hyundai  Ranger  GXL  Preowned,1673394.74,Honda Cars Pre-Owned,2024-03-21,
344,honda sportage glx,$591872.85,SM Auto,2024-03-13,91709 km
345,honda ecosport gxl,1359115.09,Facebook Marketplace,2024-03-19,186128 km
346,Toyota Almera NEGO,1581983.03 php,OLX,2024-03-17,239347 km
347,kia picanto mt nego,1748143.16,AutoDeal,2024-03-17,178575 km
348,Nissan  Innova,462113.15,OLX,2024-03-24,"51,920 KM"
349,Foton D-Max,$1879792.64,AutoDeal,2024-03-02,187895 km
350,Isuzu Ranger RUSH,271716.00,Local Dealer,2024-03-18,151720 km
351,Ford Picanto,$1382553.79,Local Dealer,2024-03-03,56078 km
352,Mazda Vios,$707347.43,Local Dealer,2024-03-18,"65,120 KM"
353,isuzu montero sport,623790.02 php,Toyota Certified Pre-Owned,2024-03-21,81015 km
354,HONDA RANGER,0,Honda Cars Pre-Owned,2024-03-17,166566 kms
355,NISSAN HR-V PREOWNED,"1451985,31",Honda Cars Pre-Owned,2024-03-28,171835 km
